0,1,2
no suresh should understand her,affair it be alright for a man to beat hi wife if she be unfaith,1
ye samir be right hi father beat hi mother so much they should go away to the villag,woman should toler violenc to keep her famili togeth,1
i disagre with ramesh she have right to go outsid,woman role be take care of her home and famili,2
i disagre rohit should explain to hi friend otherwis give up your friend,one should take action when boy teas girl,2
i disagre with mahesh becaus he should explain understand to her,affair it be alright for a man to beat hi wife if she be unfaith,1
ye becaus she should look after household chore famili need be fulfil by husband onli,woman role be take care of her home and famili,0
no becaus it be her choic to wear ani cloth,girl who wear western and reveal cloth invit harass,2
ye becaus he play like a girl,boy should not play with doll,0
ye copi from paragraph,affair it be alright for a man to beat hi wife if she be unfaith,0
ye run think now that she be marri she should take care of hous,woman role be take care of her home and famili,0
i disagre with ramesh and priyanaka should talk with her husband to save the relationship,woman role be take care of her home and famili,1
no,boy should not play with doll,1
no he be young he still do not understand,boy should not play with doll,2
unclear to translat,one should take action when boy teas girl,0
no girl have the right to roam around independ,one should take action when boy teas girl,2
ye becaus hi friend be dear to him her doesnt have other friend,one should take action when boy teas girl,0
no if she wear such cloth boy will teas her,girl who wear western and reveal cloth invit harass,0
no rohit should explain to them that they should not do thi if they do not stop he should just ignor them,one should take action when boy teas girl,1
,woman should toler violenc to keep her famili togeth,0
ganesh should not remain quiet becaus the feel that they be like sister nd henc ganesh say someth to them becaus in the end they be like sister no water which girl,one should take action when boy teas girl,1
no instead of leav home he have to explain and convinc hi father,woman should toler violenc to keep her famili togeth,1
i disagre with ramesh becaus women and men be equal and she should start her own busi,woman role be take care of her home and famili,3
no he should also look after hi mother,both girl and boy have equal right to educ and both be respons for household chore,2
no poonam have the right to wear whatev cloth she want boy around her should be tell how to behav,girl who wear western and reveal cloth invit harass,2
no they both should tri to understand each other and pranita have human right too,affair it be alright for a man to beat hi wife if she be unfaith,1
no,take care of children be a girl respons,1
,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre with the mother becaus roshni can also studi and run can help out with domest chore,both girl and boy have equal right to educ and both be respons for household chore,3
no becaus shoaib friend have to chang their attitud thi bad habit should br remov like shoaib everybodi should help girl,one should take action when boy teas girl,1
shoib should keep quiet as they stare the girl,one should take action when boy teas girl,0
no thi be right,girl should not go out at night or the safest way to protect girl be by them stay at home,0
ye becasu he remov all hi frustrat on mother,woman should toler violenc to keep her famili togeth,2
no no proper answer,both girl and boy have equal right to educ and both be respons for household chore,0
ye she should stay at home mir can earn the money,man role be to provid for hi famili while a woman job be to look after her famili,0
no becaus if her brother do not go outsid to play and instead look after the babi then it will be easi for nina to go outsid,take care of children be a girl respons,3
no just like boy girl also have right to go outsid so her parent should allow her to go to the trip,take care of children be a girl respons,2
no he be in age to play,boy should not play with doll,2
i disagre with rohit becaus rohit should tell to their parent so then they teach the boy care,one should take action when boy teas girl,1
i disagre that thi be the onli way to protect her keep a girl hous bind to protect her be wrong in the even the environ that happen need to chang thi be import,girl should not go out at night or the safest way to protect girl be by them stay at home,3
ye becaus hi parent be concern about hi futur,boy should not play with doll,1
i disagre becaus he should stop it,one should take action when boy teas girl,1
i disagre with the father becasus her brother can go play cricket later as well she should go for the picnic,take care of children be a girl respons,1
no,affair it be alright for a man to beat hi wife if she be unfaith,1
no ganesh should make complaint about hi friend to their parent,one should take action when boy teas girl,1
no becaus they be our father they bring up and have grow up so whi should we leav him,woman should toler violenc to keep her famili togeth,0
no ganesh should explain hi friend that it be not good to behav in thi way,one should take action when boy teas girl,1
no priyanka should do her busi along with household work,woman role be take care of her home and famili,1
ye becaus she be marri and she be into a relationship,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre with her father becaus if there be a picnic the boy will go for it rightand for one day he can take care of the babi and do not play criket,take care of children be a girl respons,1
no it unfair to women,girl should not go out at night or the safest way to protect girl be by them stay at home,1
becaus he doesnt like to teas girl,one should take action when boy teas girl,1
ye becaus boy harass girl at night,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no it be wrong of tushar father to beat hi wife without ani reason hi mother should listen to tushar,woman should toler violenc to keep her famili togeth,1
i disagre with ramesh but he can take the money from the parent,woman role be take care of her home and famili,0
she have the equal right she should be allow to wear the cloth she like,girl who wear western and reveal cloth invit harass,2
if he have to play with hi sister then what will happen if he play with doll,boy should not play with doll,2
no,take care of children be a girl respons,1
i agre with prathmesh becaus she have to look after her son futur that be whi she have to bear domast violenc,woman should toler violenc to keep her famili togeth,0
no they should live togeth,woman should toler violenc to keep her famili togeth,0
ye tushar be right,woman should toler violenc to keep her famili togeth,2
i disagre with mahesh if both work for the hoom it be ok she should tell him that,man role be to provid for hi famili while a woman job be to look after her famili,1
no they both should work,woman role be take care of her home and famili,1
no father can tell the elder nroher to take care of the kid,woman role be take care of her home and famili,2
no he should not doubt her it be wrong to beat up,affair it be alright for a man to beat hi wife if she be unfaith,0
no sarika should continu busi and explain run,woman role be take care of her home and famili,1
,man role be to provid for hi famili while a woman job be to look after her famili,0
no she like to be fashion and so boy whistl on see her,girl who wear western and reveal cloth invit harass,1
no becaus he should tell hi friend that the girl be like their sister and they should not troubl them,one should take action when boy teas girl,1
no becaus suresh have affair with other too,affair it be alright for a man to beat hi wife if she be unfaith,1
ye i be agre with samir he be correct,woman should toler violenc to keep her famili togeth,1
no hi father come back home after do a stress job so he beat her up,woman should toler violenc to keep her famili togeth,0
no becaus there would have be misunderstand or he would have doubt her,affair it be alright for a man to beat hi wife if she be unfaith,0
i agre becaus vrushali and other girl also want to wear jean and short drese and they do not cover bodi part which must be cover so that whi boy teas girl,girl who wear western and reveal cloth invit harass,0
no she can do as she pleas she have the right to equal she should keep a lookout though,girl who wear western and reveal cloth invit harass,1
no no matter if he lose hi friend he should help the girl,one should take action when boy teas girl,1
i disagre becaus father discrimin between both boy and girl and they should not do thi,take care of children be a girl respons,2
i disagre with ramesh becaus may be he misunderstand the situat,affair it be alright for a man to beat hi wife if she be unfaith,1
no seema elder brother should look after the kid,take care of children be a girl respons,2
no priya can go with her brother,girl should not go out at night or the safest way to protect girl be by them stay at home,1
,boy should not play with doll,0
i disagre becaus mir should let her worki disagre with mir becaus both should work both can earn,man role be to provid for hi famili while a woman job be to look after her famili,2
ye becaus nisha should work at home,man role be to provid for hi famili while a woman job be to look after her famili,0
no they both should do household work equal,both girl and boy have equal right to educ and both be respons for household chore,2
ye vishal should do the job,man role be to provid for hi famili while a woman job be to look after her famili,0
i disagre with ramesh he should explain to hi wife,affair it be alright for a man to beat hi wife if she be unfaith,1
no neenaa father should also tell work to her older brother,take care of children be a girl respons,1
,woman role be take care of her home and famili,0
no both should take respons of hous and take care of mother,both girl and boy have equal right to educ and both be respons for household chore,1
i disagre with mahesh becaus she can behav accord to her wish,affair it be alright for a man to beat hi wife if she be unfaith,2
ye he should not play with doll,boy should not play with doll,0
no she should tell him that he should not go to work and should take care of the hous while she go out to work,woman role be take care of her home and famili,2
no the brother can take care of the kid,woman role be take care of her home and famili,2
no soyeb say right if you have a sister in the place where you wont to tell friend you would have be veri angre girl do not wont to leav,one should take action when boy teas girl,2
,take care of children be a girl respons,0
it be not poonam fault becaus she should wear cloth that a girl wear whistl and shout should not happen,girl who wear western and reveal cloth invit harass,1
no becaus shohib friend might endup fight with him,one should take action when boy teas girl,0
she have right one should not beat,affair it be alright for a man to beat hi wife if she be unfaith,2
ye becaus nisha be earn good as campar to mahesh that whi mahesh tell her to leav the job j,man role be to provid for hi famili while a woman job be to look after her famili,1
no she should do the job she have equal right to do job,man role be to provid for hi famili while a woman job be to look after her famili,2
i disagre with parent and they should allow,boy should not play with doll,1
ye seema should take care of younger brother it not big matter if you do not go picnic for some year,take care of children be a girl respons,0
i agre with hi parent becaus if he play with doll in childhood then he will behav like a girl when he grow up,boy should not play with doll,0
i disagre with ramesh becaus hi wife be not a thing vastu she too have a right to decid who she want to live for,affair it be alright for a man to beat hi wife if she be unfaith,2
i diagre with her mother neha also need to do studiboth should be give equal work,both girl and boy have equal right to educ and both be respons for household chore,2
shohib should not remain quiet becaus what he be do be good they be not get the right to life,one should take action when boy teas girl,2
i disagre with mahesh but nisha should not make her husband jealou,man role be to provid for hi famili while a woman job be to look after her famili,0
no if madhuri earn more or nil as long as famili need be fulfil that enough,man role be to provid for hi famili while a woman job be to look after her famili,1
i disagre with the husband becasu both should do work man and woman and both equal,man role be to provid for hi famili while a woman job be to look after her famili,3
ye becaus girl should not go out at night,girl should not go out at night or the safest way to protect girl be by them stay at home,0
ye she should stay at home,woman role be take care of her home and famili,0
no ganesh should inform their parent aboout it and tri to convinc them,one should take action when boy teas girl,2
no let seema go as well,take care of children be a girl respons,1
no he should let her do job,man role be to provid for hi famili while a woman job be to look after her famili,1
no she should give them equal work time to studi,both girl and boy have equal right to educ and both be respons for household chore,2
he be a boy and he be behav like a girl if he continu it willaffect him,boy should not play with doll,0
i disagre with chetu parent chetu be still small and he can play with the toy that he like,boy should not play with doll,1
pranita do not deserv to be hit becaus ramesh should quietli set asid thi question,affair it be alright for a man to beat hi wife if she be unfaith,1
i disagre with mahendra becaus she do household chore with her job,woman role be take care of her home and famili,1
i disagre with hi parent becaus if he love do that and if he be like transgend so it good,boy should not play with doll,2
ca not say,boy should not play with doll,0
chetu have right to play as per hi choic,boy should not play with doll,2
ye becaus she shouldnt wear such cloth such cloth attract boy and therefor they harrass her,girl who wear western and reveal cloth invit harass,0
thi be not poonam fault becaus she can wear the dress by own chois,girl who wear western and reveal cloth invit harass,2
ye she should,take care of children be a girl respons,0
ye,man role be to provid for hi famili while a woman job be to look after her famili,0
i disagre with the him becaus she should go to work,man role be to provid for hi famili while a woman job be to look after her famili,2
no she desir to go out,girl should not go out at night or the safest way to protect girl be by them stay at home,1
i disagre with nisha parent she should be send for the programm,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no it import for her to go for the programm she be be deni her right to go out independ,girl should not go out at night or the safest way to protect girl be by them stay at home,1
ye becaus vinita do go to the neighbour home there be no misunderstand,affair it be alright for a man to beat hi wife if she be unfaith,0
no when would a kid play with doll if not now onc grow probabl no one play with doll be it girl or boy,boy should not play with doll,3
i disagre with becaus anyon can do what they likevrushali have right to indulg in fashion she should tell there boy famili,girl who wear western and reveal cloth invit harass,2
no he be give wrong advic thi happen in everi famili one should understand,woman should toler violenc to keep her famili togeth,0
no her parent should tell not to wear such dress there be no fault of gauri,girl who wear western and reveal cloth invit harass,0
shoib get angri with hi friend sinc they touch the girl but he should not take thi lie downno it be a crime to harass women,one should take action when boy teas girl,2
no becaus seema brother can take care of the babi,take care of children be a girl respons,1
no vrushali not get human right she can wear anyth,girl who wear western and reveal cloth invit harass,3
i disagre with ramesh becaus what be understand here be that a man be the pillar of the hous or he should be give respect howev men do not onli have the right to work priyanka should understand thi,woman role be take care of her home and famili,3
ye becaus it onli a girl respons to take care of children,take care of children be a girl respons,0
no shoaib should talk to hi friend and explain them he also should tell about thi matter to parent of those girl,one should take action when boy teas girl,2
i disagre with parent but he should not play with doll,boy should not play with doll,0
no i disagre with their mother,both girl and boy have equal right to educ and both be respons for household chore,1
he should not lose hi friend,one should take action when boy teas girl,0
mean not clearmother and father should not suspect they should allow her to go as she be their daughter,girl should not go out at night or the safest way to protect girl be by them stay at home,1
i disagre becaus if he like then they should allow to play,boy should not play with doll,1
no becaus they both should work togeth,man role be to provid for hi famili while a woman job be to look after her famili,2
no becaus pranita have right to fall in love,affair it be alright for a man to beat hi wife if she be unfaith,1
i agre with ramesh becaus she need to understand that everyday her husband be angri,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre with ramesh becaus love be natur and she fell in love,affair it be alright for a man to beat hi wife if she be unfaith,1
ganesh should not remain quiet becaus if ganesh listen to friend then they will do thi again and again,one should take action when boy teas girl,1
ye she should stay at home,woman role be take care of her home and famili,0
ye instead of go to play the brother can look after the child,take care of children be a girl respons,2
no mother of the boy who teas her should be inform and there should be polica compplaint make against them,girl who wear western and reveal cloth invit harass,1
ye becaus when vishal grow old he might still be the same and so hi parent be worri that whi they must stop him from play with doll,boy should not play with doll,0
no becaus seema brother can skip play cricket for one day,take care of children be a girl respons,1
no rohit should tell hi friend not to teas girl becaus we also have sister,one should take action when boy teas girl,1
no becaus they both have equal right they have right to work,man role be to provid for hi famili while a woman job be to look after her famili,1
,woman role be take care of her home and famili,0
ye mother be not happi so sameer have say correct thing,woman should toler violenc to keep her famili togeth,1
no younger kid should be take care by everyon in the famili and everyon should be allow to go everywher so i disagre,take care of children be a girl respons,1
ye whatev he have do be right becaus he should talk to other boy and live with them,one should take action when boy teas girl,1
pranita do not deserv to be hit howev he should ger her marri to the neighbour,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre with father becaus nina brother can take care the small children for one day and she can go for picnic,take care of children be a girl respons,1
no she have right to wear cloth of her choic,girl who wear western and reveal cloth invit harass,2
no he hit her,affair it be alright for a man to beat hi wife if she be unfaith,1
ye he will act the same when he grow older,boy should not play with doll,0
no becaus ganesh freind be wrong he should inform hi teacher about them,one should take action when boy teas girl,2
no nisha should work and earn money,man role be to provid for hi famili while a woman job be to look after her famili,2
no becaus that boy attitud should be good in first place whatev type of cloth she war it do not matter then,girl who wear western and reveal cloth invit harass,3
i disagre that thi be the onli way to protect nisha she can protect her own self she be big,girl should not go out at night or the safest way to protect girl be by them stay at home,2
ye it be right of him beat her he have all the right to beat her becaus he might be angri,affair it be alright for a man to beat hi wife if she be unfaith,0
i disagre with samir becaus samir be not right or wrong if samir mother leav her husband she will not get ani money and will not get the happine and love of her husband navrach sukh,woman should toler violenc to keep her famili togeth,0
ye friend will call hi hijda otherwis,one should take action when boy teas girl,0
ye becasu be she work the societi will get insult and that whi she should stay away,man role be to provid for hi famili while a woman job be to look after her famili,0
ye becaus she be the onli elder one and she be a girl so she must pay attent to the home,take care of children be a girl respons,0
no the respons of household chore should be give to both,both girl and boy have equal right to educ and both be respons for household chore,2
no he should expain to them that what if someon harass your sister how would you feel,one should take action when boy teas girl,1
no sarika should start her busi both should earn to fulfil household need,woman role be take care of her home and famili,2
i disagre with nina father becaus her brother too can look after the younger sibl,take care of children be a girl respons,2
no ramesh should not beat hi wife becaus it might not be an affair it can also be brother and sister relationship,affair it be alright for a man to beat hi wife if she be unfaith,1
ye humili and mock by friend would not make ani harm as such thu shohib must remain calm lso as school be far parent will be unawar of such thing,one should take action when boy teas girl,0
ye becaus hi parent dont let him play with doll,boy should not play with doll,0
ye shoaib be right that girl should not be harass,one should take action when boy teas girl,1
i disagre with ramesh if there be time she should work,woman role be take care of her home and famili,1
if her brother feel insecur then he should go with her for the programm,girl should not go out at night or the safest way to protect girl be by them stay at home,0
i agre with samir becaus it be wrong to hit everi day,woman should toler violenc to keep her famili togeth,1
both should work if boy have right to work whi girl do not have itboth should look after the hous,woman role be take care of her home and famili,3
no he will understand onc he grow up,boy should not play with doll,1
no she want to go to the program so she should be allow to go,girl should not go out at night or the safest way to protect girl be by them stay at home,2
no he should not remain quiet becaus he should tell them to behav properli and not harass girl,one should take action when boy teas girl,2
no vineeta have an affair with their neighbor,affair it be alright for a man to beat hi wife if she be unfaith,1
no distribut the work equal for both focu on studi so i disagre,both girl and boy have equal right to educ and both be respons for household chore,2
no she do not deserv to be hit becaus have an affair be natur,affair it be alright for a man to beat hi wife if she be unfaith,1
pranita do not deserv to be hit becaus both be equal,affair it be alright for a man to beat hi wife if she be unfaith,2
ganesh should not reamin quiet and talk with friend,one should take action when boy teas girl,1
no shoib should not keep quiet for then hi friend will keep troubl girl,one should take action when boy teas girl,2
i agre with mother he need to studi,both girl and boy have equal right to educ and both be respons for household chore,0
no let him play now when he will grow up he will not play with doll,boy should not play with doll,1
ganesh should not remain quiet becaus he should expalin to friend about the gender norm it be the crime if you touch ani girl withour her permiss if they not understand then tell to the polic,one should take action when boy teas girl,3
no seema should allow to go to trip her brother can take care of babi,take care of children be a girl respons,2
i disagre with mahesh nisha should explain to mahesh that becaus of her work her famili will get peac sookh and benefit,man role be to provid for hi famili while a woman job be to look after her famili,1
becaus there should be a fatherli figur in home otherwis the woman be get dirti look,woman should toler violenc to keep her famili togeth,0
,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no madhuri should work,man role be to provid for hi famili while a woman job be to look after her famili,1
,woman role be take care of her home and famili,0
i disagre with mahendra becaus she be tri to earn her own her husband should help her if both work togeth then they will earn more,woman role be take care of her home and famili,3
no priya can go with her brother,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no she should tell her parent and should lodg a polic complaint,girl who wear western and reveal cloth invit harass,1
ye becaus her brother should becom a big man,both girl and boy have equal right to educ and both be respons for household chore,0
no sarika should star her busi from home she should take care of her home as well,woman role be take care of her home and famili,1
ye if she go out in the even boy will teas her,girl should not go out at night or the safest way to protect girl be by them stay at home,0
i agre with ramesh becaus she leav ramesh and go with anoth person so he have to hit her,affair it be alright for a man to beat hi wife if she be unfaith,0
ye becaus a girl can take care of a small babi,take care of children be a girl respons,0
ye i agre with mir,man role be to provid for hi famili while a woman job be to look after her famili,0
no madhuri should give money to him save money and deposit in bank so i disagre,man role be to provid for hi famili while a woman job be to look after her famili,1
ye,affair it be alright for a man to beat hi wife if she be unfaith,0
no becaus boy and girl be equal,both girl and boy have equal right to educ and both be respons for household chore,1
no not agre semma father becaus seema can go mahabaleshwar she have right to live and travel,take care of children be a girl respons,3
ye becaus their mother dont fall sick everyday,both girl and boy have equal right to educ and both be respons for household chore,0
i disagre with the mother becaus both should be treat equal,both girl and boy have equal right to educ and both be respons for household chore,3
saraika need to explain vinod about she should have right to learn and run home respons be botth responc,woman role be take care of her home and famili,3
no he should make her understand warn her do not beat,affair it be alright for a man to beat hi wife if she be unfaith,1
no becaus everyon have an equal right to educ nd sinc the home belong to both so should the chore,both girl and boy have equal right to educ and both be respons for household chore,3
ye becaus she should wear tradit dress,girl who wear western and reveal cloth invit harass,0
no samir should not have want to take hi mother away,woman should toler violenc to keep her famili togeth,0
ye becaus hi mother be toler a lot of pain and it be not right,woman should toler violenc to keep her famili togeth,1
no becaus she be onli a girl that whi she be also right brither can take care of the child,take care of children be a girl respons,2
ye it her respons to take care of home and babi,both girl and boy have equal right to educ and both be respons for household chore,0
i disagre with mahesh becaus mahesh should ask to priyanka no need to beat her,affair it be alright for a man to beat hi wife if she be unfaith,2
other opinion must be considerd,woman role be take care of her home and famili,1
i disagre with the mother becaus roshni should also studi she also have the right to studi,both girl and boy have equal right to educ and both be respons for household chore,3
i agre with chetu parent becaus when he becom big he will becom that seek of person,boy should not play with doll,0
no she be not get enough love from her husband,affair it be alright for a man to beat hi wife if she be unfaith,1
no,boy should not play with doll,1
i disagre with the husband she should go for the picnic and her older brother can look after the younger sibl,take care of children be a girl respons,2
i agre with cetu parent becaus he everday play with doll and parent not like thi,boy should not play with doll,0
,one should take action when boy teas girl,0
,man role be to provid for hi famili while a woman job be to look after her famili,0
i disagre with rohit becaus he should tell hi friend that they should behav like good boy otherwis he wont stay with them,one should take action when boy teas girl,1
i disagre with ramesh and priyanaka should expalin to the the ramesh,woman role be take care of her home and famili,1
no she should be allow to go out she be safe outsid,girl should not go out at night or the safest way to protect girl be by them stay at home,1
ye boy should chang their behaviour,girl who wear western and reveal cloth invit harass,2
girl also have equal right to be out seema should be allow to go for picnic her brother should be tell to take for younger brother,take care of children be a girl respons,3
she can go with her friend she be yr old and can take care of herself,girl should not go out at night or the safest way to protect girl be by them stay at home,3
i disagre becaus she have right to freedom,woman role be take care of her home and famili,2
thi be the poonam fault,girl who wear western and reveal cloth invit harass,0
i disagre with parent becaus he be small and if he play with doll then he can not becom a man which be a wrong thing,boy should not play with doll,1
he be a child that whi he play,boy should not play with doll,1
ye becaus peopl will speak ill of thi,man role be to provid for hi famili while a woman job be to look after her famili,0
ye stay at home,man role be to provid for hi famili while a woman job be to look after her famili,0
ye becaus hi father beat hi mother,woman should toler violenc to keep her famili togeth,1
no sima brother can take care of babi and sima can go for trip,take care of children be a girl respons,3
no suresh hit her wife be not fine,affair it be alright for a man to beat hi wife if she be unfaith,1
no it be wrong that suresh wife be have an affair,affair it be alright for a man to beat hi wife if she be unfaith,0
her behaviour be wrong,affair it be alright for a man to beat hi wife if she be unfaith,0
no becaus they both should studi and take care of babi there be no discrimin between the two,both girl and boy have equal right to educ and both be respons for household chore,2
i disagre with the the mother becaus the girl and the boy be the same both of them have the right to educ and both of them should do household chore,both girl and boy have equal right to educ and both be respons for household chore,3
ye becaus she dress like she be teas,girl who wear western and reveal cloth invit harass,0
ye her mother be go to work and brother be go to play cricket,take care of children be a girl respons,0
madhuri should work,man role be to provid for hi famili while a woman job be to look after her famili,1
,woman should toler violenc to keep her famili togeth,0
no onli roshani should not give the work run should also help for household chore neha should send to school,both girl and boy have equal right to educ and both be respons for household chore,2
ye,woman role be take care of her home and famili,0
no i feel that it her choic wherev she want to roam it her right,girl should not go out at night or the safest way to protect girl be by them stay at home,3
no becaus seema mother should take leav for a day to take care of babi seema should be send for picnic,take care of children be a girl respons,0
i disagre with mahesh becaus if both work then they will get more money,man role be to provid for hi famili while a woman job be to look after her famili,1
sarika should take care of hous,woman role be take care of her home and famili,0
priya brother rohan be correct she be alon and the boy will teas her so she should not be allow to go out,girl should not go out at night or the safest way to protect girl be by them stay at home,0
i agre with tushar becaus hi mother be go through harass and hi father have no right to hit her,woman should toler violenc to keep her famili togeth,3
no it be wrong now a day women also have right to go out,girl should not go out at night or the safest way to protect girl be by them stay at home,2
ye becaus pranita cheat on her husband ramesh but still instead of hit her ramesh should divorc her,affair it be alright for a man to beat hi wife if she be unfaith,0
no hi parent be not give him right to live as per hi choic,boy should not play with doll,2
i disagre with ramesh and priyanka should do the work and whatev she like she should do that work but also take care the hous,woman role be take care of her home and famili,2
no hi father get angri and beat up hi mother,woman should toler violenc to keep her famili togeth,1
ye becaus she be alreadi marri they whi do she need to get enag in other relationship,affair it be alright for a man to beat hi wife if she be unfaith,0
ye becaus gauri be a girl she should wear girl type cloth and girl cannot dress up like boy,girl who wear western and reveal cloth invit harass,0
ye priyanka should listen to her husband and should not start the busi,woman role be take care of her home and famili,0
pranita do not deserv to be hit it be wrong to hit but hi wife should behav well and should tell the truth,affair it be alright for a man to beat hi wife if she be unfaith,1
i disagre with him becaus she should be allow to work,woman role be take care of her home and famili,1
no becaus she should work,man role be to provid for hi famili while a woman job be to look after her famili,1
no if he love to play do not forc him,boy should not play with doll,2
no thi be the age when girl should enjoy she should not restraint and hurt her feel,girl who wear western and reveal cloth invit harass,2
she want to work and men also need to work,woman role be take care of her home and famili,1
distribut work equal do not discrimin,both girl and boy have equal right to educ and both be respons for household chore,2
no becaus shrut and navnath they both should equal do the household chore,both girl and boy have equal right to educ and both be respons for household chore,1
i disagre with samir but samir mother love hi father,woman should toler violenc to keep her famili togeth,0
no she have some choic let her express it but she should live as an indian womann women be pride of india,girl who wear western and reveal cloth invit harass,0
everi girl have right to live life as per her choic,woman role be take care of her home and famili,2
no becaus madhuri should work becaus she will get money and which will help them to do save,man role be to provid for hi famili while a woman job be to look after her famili,1
no becaus if neena older brother will take leav neena can go to trip,take care of children be a girl respons,1
it be not poonam fault poonam can wear cloth of her choic despit what other think,girl who wear western and reveal cloth invit harass,2
,man role be to provid for hi famili while a woman job be to look after her famili,0
ye sarika should stop her beauti parlor work and take care of home babi should be take care by mother,woman role be take care of her home and famili,0
ganesh should not remain quiet becaus he need to talk with the boy and ask them if they behav with their sister in the same manner then they will understand their fault,one should take action when boy teas girl,1
no stay with mother and father,woman should toler violenc to keep her famili togeth,0
no father will be leav alon,woman should toler violenc to keep her famili togeth,0
no ramesh should tri to understand her and also tri to explain to the other guy with whom she have an affair,affair it be alright for a man to beat hi wife if she be unfaith,1
no nina brother should take one day off from cricket and handl the kid,take care of children be a girl respons,1
i agre with mahendra becaus she be marri,woman role be take care of her home and famili,0
no play be right of younger children hi parent should not deni hi right,boy should not play with doll,2
ye becaus he should learn,both girl and boy have equal right to educ and both be respons for household chore,1
ye i do not want to becom like thi for other will teas me,boy should not play with doll,0
both should do the work outsid and take care of the hous,woman role be take care of her home and famili,2
i do not agre that thi be the onli way to protect her becaus i think one of the solut be for one of the parent to go for the programm with her,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no it be not gauri fault becaus she should stay how she like she have all the right,girl who wear western and reveal cloth invit harass,2
no he should not think bad about hi famili she want to work for her famili onli,man role be to provid for hi famili while a woman job be to look after her famili,1
ye beat her,affair it be alright for a man to beat hi wife if she be unfaith,0
no becaus she have the right to go for a picnic,take care of children be a girl respons,1
it her like she should go father or brother should accompani,girl should not go out at night or the safest way to protect girl be by them stay at home,1
ye do not teas them he have to tell thi,one should take action when boy teas girl,1
no becaus women be no less than men,man role be to provid for hi famili while a woman job be to look after her famili,1
no neena should go to trip her older brother can take care of her younger brother,take care of children be a girl respons,2
no if she want to attend the programm whi should not she if her brother be concern about her safeti he can accompani her,girl should not go out at night or the safest way to protect girl be by them stay at home,2
,girl should not go out at night or the safest way to protect girl be by them stay at home,0
no it her mistak becaus she wear western cloth,girl who wear western and reveal cloth invit harass,0
no she have right she can wear cloth as per her choic,girl who wear western and reveal cloth invit harass,2
chetu love to do it hi parent should allow him to play as per hi choic and with whatev he like,boy should not play with doll,2
ganesh should remain quiet but he should explain to hi friend,one should take action when boy teas girl,1
no if girl stay at home develop will stop so brother should pick up and drop her,girl should not go out at night or the safest way to protect girl be by them stay at home,2
ye becaus he have to be a good man when he grow up if he continu to play then other will teas him with derogatori name,boy should not play with doll,0
i disagre with hi parent becaus he cant chang,boy should not play with doll,1
ye becaus tushar do not like the way hi father behav,woman should toler violenc to keep her famili togeth,1
ye nina should stay at home on saturday becaus babi should grow up properli,take care of children be a girl respons,0
no becaus father should send her to the picnic,take care of children be a girl respons,2
no he should not remain quiet becaus it be not right to teas girl he should explain to hi friend that we also have sister who be in the bu if thi happen to them then we get angri,one should take action when boy teas girl,1
ye becaus when they be marri then they cannot act like that have an affair with anoth person,affair it be alright for a man to beat hi wife if she be unfaith,0
no they should not let him play with doll,boy should not play with doll,1
i agre with parent if chetu play with doll then he will not grow,boy should not play with doll,0
no if she want to start new busi then she should do it i think she can manag both home and busi,woman role be take care of her home and famili,1
i disagre becaus she have right to wear the cloth as per her choic,girl who wear western and reveal cloth invit harass,2
i disagre with father becaus they discrimin and they not allow for picnic nina brother can take care the small children,take care of children be a girl respons,2
i disagre with ramesh and she should work and do not afread,woman role be take care of her home and famili,2
no women have right to start their own buidinesswork,woman role be take care of her home and famili,3
i disagre becaus samir need to talk with father,woman should toler violenc to keep her famili togeth,1
no her mother should let her finish her homework first and then she can take help in household work,both girl and boy have equal right to educ and both be respons for household chore,1
,woman role be take care of her home and famili,0
ye becasu if he will get addict about that then it will creat huge pro blem in futur theat whi they think like thta,boy should not play with doll,0
men do not get educ they drink and creat troubl so mother should work,man role be to provid for hi famili while a woman job be to look after her famili,1
no he should tell hi friend not to teas girl,one should take action when boy teas girl,2
no becaus she start beauti parlour busi,woman role be take care of her home and famili,1
no nina brother can also look after the babi decis of her father be wrong and they should let her go to the trip,take care of children be a girl respons,2
no disagre with tushar,woman should toler violenc to keep her famili togeth,0
the parent should share the housework among both,both girl and boy have equal right to educ and both be respons for household chore,2
no becaus they will earn more money if both will do the work,woman role be take care of her home and famili,1
i disagre becaus she also have right to freedom like her brother,girl should not go out at night or the safest way to protect girl be by them stay at home,2
no she do not go to picnic often she should be allow to go,take care of children be a girl respons,1
i disagre with the mother becaus navanth should also be tell do do work,both girl and boy have equal right to educ and both be respons for household chore,2
ye when samir mother go to villag then onli hi father will remors and will improv hi behaviour,woman should toler violenc to keep her famili togeth,1
i disagre with their mother both shruti and navnath should do the household chore togeth,both girl and boy have equal right to educ and both be respons for household chore,2
no ganesh should talk to all of them,one should take action when boy teas girl,1
no not translat,woman role be take care of her home and famili,1
