Explantation provides a ccomprehensive understanding of gender equality or violence and discrimination related to the scenario,,,,,,,,,,,
"Explantion challenges the social or gender norm in the scenario (Example: Boys will not become girls if they play with dolls, men should help in looking after children , equal responsibility in household chores)",,,,,,,,,,,
"Explanation uses human rights language (Example: right to education, right to work, right to wear what one wants) related to the scenario",,,,,,,,,,,
Participant provides an acition oriented explanation to stop violence and and explains the 'why' for that action (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
310,T3,,,No it is not Gauris fault because it is Gauris right to wear whatever clothes she wants.  It is boys vision that has to change ,,,"No this is the not the solution because human rights are there, just the peoples vision/ how they look at things need to change ",I disagree with Vishal because both  should work ,,,
311,T3,,,,,,,,I disagree with the mother because Roshni can also study and Arun can help out with domestic chores,,
312,T3,,,,,,,,I disagree with the mother because the girls right to education is denied. The boy is getting all these rights. Both should get equal rights,,
313,T2,No she does not deserve to be beaten because it is her right to have an affair with anyone she wants. She should explain that ,I agree with Tushar because his mother is going through harassment and his father has no right to hit her ,No it is not Gauris fault because it is her right to wear whatever clothes she wants and  there is no reason for the boys to harass her. ,,,,"No I disagree with vishal because she should do outside work, she should not only do inside wotk. Both of them have a right to work ",I disagree with the mother. Why should Roshni do the work on her own. She should also study,,I disagree with the father because the father and the son can look after the younger sibling. This type of talk is wrong 
314,T2,,,,,,,I disagree with Vishal because she has the right to work ,,,I disagree with the father because the father should look after the younger sibling and she should go for the picnic
315,T2,,,,,,No it is not the only way to protect her because she has the right and she can look after herself,,,,
316,T2,, I agree with Tushar because His mother is undergoing aloth of harassment and her right are going. Getting hit everyday is not right,No it is not Gauris fault. Dressing up fashionably. Wearing jeans skirts and a dress that is her decision. Boys can dress up fashionably and not girls why is that?,,No i disagree with the parents because playing with his sister and doll that is his individual decision. There is no reason for his parents to get worried,No it is not the solution because she has the right to move freely ,I disagree with Vishal because going to work or not that is her individual decision. She has the right to earn money and she should work ,,I disagree with Vinod because going to work or not that is her individual decision. She has the right to earn money and she should work ,
317,T2,,,,,,,,,,
318,T2,,,,,No I disagree with Sushil because Sushil is 10 years old and he likes to play with his sisters and dolls. What is wrong in that. It is his descison/wish ,,I disagree with Vinod because she too has the right to earn money. ,,No I disagree with Vinod because Sarika too has the right to work and earn money ,No I disagree with the father because the mother is gone to work. The brother is going for cricket. She should be sent for her picnic and hence the father should look after the young child. 
319,T3,,,,,,,,,,
320,T3,,,"No,gaury at not fault, because she have right to wear the clothes.",,"no, not agree with parents, because he have freedom to play and it is human right.","No,staing at home it' not an option for safety,because she have right to travel. ","no, not agree with vishal, because fulfilling the family need its the responcibility of both.",,,"No, not agree semma's father, because seema can go mahabaleshwar. she have right to live and travel."
321,T3,,,"No,gaury at no fault, because girl can wear the short dress they have right to wear the short dress. the boys are quilty in this case.",no. shoyeb don't be quiet. he should talk to his friend about teasing is bad thing.because of it girls loose their confidence.,,"No, staying at home its not a choice, his brother can go with her. mental voilence has done in the case.",,,saraika need to explain vinod about she should have right to learn and run home responsibly is botth responcibility.,seema's brother should take care of small brother and need to get freedom right to seema.
322,T3,,,"no, becuse she can any kind of clothes. it is her human right to wear clothes",,,,"no, because if both of them work , money will be come home and it will be eassy to ahnddle the family. she has right to at work.",,,
323,T3,,,"no, because girls have the right.",,"No, Because he is small, hehas teh right but who ever speaks to his but he is small.","No, Because he has the right to a college they have girls who have rights as children they have the right to return.",,,,
324,T1,,,,,,,,,,
325,T1,,,,,,,,,,
326,T1,,,,,,,,,,
327,T1,,,,,,This is discrimination towards her. She doesnt have liberty to go out.,,,,
328,T1,,,,,,,,,,
329,T1,,,,,,,,,,
330,T1,,,,,,,,,,
331,T1,,,,,,,,,,
332,T1,,,,,,,,,,
333,T1,,,,,,,,"No because mother is dsicriminating between Rishni and Arun. Both should be given equal rights. At a time of family crisis, everyone should come together. This should be tauight to everyone.",,
334,T1,,,,,,,,,,
335,T1,,,,,,,,,,
336,T1,,,,,,,,,,
337,T1,,,,,,,,,,
338,T1,,,,,,,,,,
339,T1,,,,,,,,,,
340,T1,,,,,,,,,,
341,T1,,,,,,,,,,
342,T1,,,,,,,,,,
343,T1,,,,,,,,,,
344,T1,,,No because its' Gauri's decision to decide her clothes. The objective of boys staring at her is wrong. ,,,,,"No because she should treat both of the, equal and not discriminate . She should ask both of them to work and both of them should be educated.","No because Sarika likes so she can do it. Everyone has the right to take their own decsions. It is not right for women only to tale care of the home and chikdre. If women step out, men will understand the world.",
345,T1,,,,,,,,,,
346,T1,,,,,,,,,,
347,T1,,,,,,,,,,
348,T1,,,,,,,,,,
349,T1,,,,,,,,,,
350,T1,,,,,,,,,,
351,T1,,,,,,,,,,
352,T1,,,,,,,,,,
353,T1,,,,,,,,,,
354,T1,,,,,,,,,,
355,T1,,,,,,,,,,
356,T1,,,,,,,,,,
357,T1,,,,,,,,,,
358,T1,,,,,,,,,,
359,T1,,,,,,,,,,
360,T1,,,,,,,,,,
361,T1,,,,,,,,,,
362,T1,,,,,,,,,,
363,T1,,,,,,,,,,
364,T1,,,,,,,,,,
365,T1,,,,,,,,,,
366,T1,,,,,,,,,,
367,T1,,,,,,,,,,
368,T1,,,,,,,,,,
369,T1,,,,,,,,,,
370,T1,,,,,,,,,,
371,T1,,,,,,,,,,
372,T1,,,,,,,"No, because men and women are like each other. The work which are done by men can also be done by women. I dont ahgree with ANIL.",,"No, because even she has the right. SHe can do what she wants to. She hs the right to live independantly.",
373,T1,,,,,,,"No, because MAdhuri should work. They both can take care of house. Thus husband should change his thinking.",,,"No, because if the brother is going out to play, then the father can aksi take care. And when he comes back, he can give him. Seema should be allowed to go for picnic."
374,T1,,,,,,,,,,
375,T1,,,,,,,,,,
376,T2,,,,,,,,,,
377,T2,,,,,"No, because it is not that only girls should play with dolls. He has a right to freely play with dolls.",,,,,
378,T2,,,,,,,,,,
379,T2,,,,"No, Shoaib should not remain quiet because a girl is suffering harrassment in front of him.",,,,,,
380,T2,,,,,,,,,,
381,T2,,,,,,,,,,
382,T2,,,,,,"No, I feel that its her choice wherever she wants to roam, its her right","No, I feel she has the right to work",,,
383,T2,,,,,,,,,,
384,T2,,,,,,,,,,
385,T2,,,,,,,,"No, because Roshni should also study and Arun should help his sister in the household work",,
386,T2,,,,"No, because wherever there is violence, we should stop it",,,,,,
387,T2,,,,,,,"No, because working and managing the house is the work of both and both of them should do this.",,,"No, because managing the house is not only the job of girls, boys are also obliged to do so."
388,T2,,,,,,,,,,
389,T2,,"Yes, because she also has all the rights and she should not tolerate her husband beating her for other reasons",,,,,,,"No, both of them should do the work. There should not be any discrimination","No, both of them have all the rights and both of them should be allowed to go outside."
390,T2,,,,,,,,,,
391,T2,,,,,"No, because Sushil has a right to behave and play the way he wishes to","No, because she has the right to roam. Her brother gets this right, but she doesnt","No, because Madhuri is denied the right to work and Vishal thinks that if Madhuri works and earns more, then people will pass comments and because of this, he prohibits her from working",,,
392,T2,,,,,,,,,,
393,T2,,,,,,,,,,
394,T2,,,,,,,,,,
395,T2,"No, because if she loves him, then she can tell him that she has a right to not live with him",,,,,,,,,
396,T2,,,"No, because wearing today's fashion is progress. It is the fault of the guys here because they look at her in an indecent manner",,,,,,"No, because even girls can work and even girls have the right to work",
397,T2,,,,,,,,,,
398,T2,"No, because no one has a right to do injustice on another person",,,,,,,,,
399,T2,,,,,,,,,,
400,T3,,,,,,,,,,
401,T3,,,No- Gauri also have a right to do what she wants to. She should tell her nabours that its not her fault but yours and you should look at your boys.,,,,,No- Roshani have right of Education. Arun can do household chores & take care of home.,No- Women have right to Work. She alone is not responsible for taking care of home.,
402,T3,,,,,,,,,,
403,T3,,,,,,,,No- Roshani have right of Education. Boy and Girl should not be differnciated.,No- Sarika should get chance to work as per her wish. ,No- Sima's brother can take care of baby and sima can go for trip.
404,T3,,,No- because she has right to wear cloths as per her choice.,,,,,No- Because she has freedom to study and both should do household work.,No-  She has freedom to work.,
405,T3,,,,,,,,,No- She has right. She can work like Vinod.,No- She can go. She should tell her brother not to go to play cricket.\
406,T3,No- Suresh should ask vanita with whom she wants to live? and he should take decision according to her will.,,,,,,,,No- If Sarika wants to do business he should let her do. She is not born to take care of kids.,
407,T3,,,,,,,,,,
408,T3,,,,,,,,,,
409,T3,,,,,,,,,,
410,T3,,,,,,,,,,
411,T3,,,,,,,,,,
412,T3,,,,,,,,,,
413,T3,,,,,,,,,,
414,T3,,,,,,,,,,
415,T3,,,,,,,,,,
416,T3,,,,,,,,,,
417,T3,,,,,,,,,,
418,T3,No- Vinita has freedom to fullfil her desires.,,No- Gauri has right and freedom to wear cloths according to her choice. She and her family should register complaint against those boys.,,No- Sushil is small and he can play with such toys. His prent should not wory about it. And slowly they can change his habit to play with dolls.,,,,,"No- Because seema's brother can take care of brother. Seema should go to trip, that is important for her. "
419,T3,,,,,,,No- Vishal is jealous about Madhuri. She should express her feeling about their life.,,,
420,T3,,,,,,,,,,
421,T3,,,,,,,,,,
422,T3,,,,,,,,,,
423,T3,,,,,No- They should let him play.,,,,,
424,T3,,,,,,,,,,
425,T3,,,,,,,,,,
426,T1,,,,,,,,,,
427,T1,,,No- Girls should be allow to wear whatever cloths. But they should not be harassed.,,,,,,,
428,T1,,,,,,,,,,
429,T1,,,,,,,,,,
430,T1,,,No- No matter how people talked about herself. She should complaint to police. Women has right to move anywhere.,,,,,,,
431,T1,,,No- Its not Gauri's fault. She has right to wear whatever. Fault is of those boys whose way of looking is bad.,No- Shoaib should tell his friends that harassing girls are not right. They also have human rights.,,,,No- Roshani should let study. She has right to education. Also Arun should asked to do household chores.,,
432,T1,,,,,,,,,,
433,T1,,,,,,,,,,
434,T1,,,,,,,,,,
435,T1,,,,,,,,,,
436,T1,No- Dont inflict violence. Respect each other. Get separated and be with the person of your choice.,Yes- continue being violent is wrong. Mother does household duties not father. She also get pressure. still she love everyone.,,,,,,,,
437,T1,,,,,,,,,,
438,T1,,,,,,,,,,
439,T1,,,,,,,,,,
440,T1,,,,,,,,,,
441,T1,,,,,,,,,,
442,T1,,,,,,,,,,
443,T1,,,,,,,,,,
444,T1,,,,,,,,,,
445,T1,,,,,,,,,,
446,T1,,,,,,,,,,
447,T1,,,,,,,,,,
448,T1,,,,,,,,,,
449,T1,,,,,,,,,NO- She should let do work as per her choice. Baby is both's responsibility as it belongs to both.,
450,T1,,,,,No- Boys can do girl's work as well as they can play with their toys.,,,,,
451,T1,,,,,,,,,,
452,T1,,,,,,,,,,
453,T2,,,,,,,,,,
454,T0,,,,,,,,,,
455,T0,,,,,,,,,,
456,T0,,,,,,,,,,
457,T0,,,,,,,,,,
458,T0,,,,,,,,,,
459,T0,,,,,,,,,,
460,T0,,,,,,,,,,
461,T3,,,no vrushali not get human right she can weare anything,,,,,no both are equal so they have take responsiblity equal and then she can also study,,
462,T0,,,,,,,,,,
463,T1,,,,,,,,,,
464,T0,,,,,,,,,,
465,T2,,,,,"No - Boys and girls can play with whatever they want, not only girls but boys too can play with dolls.",No - It is wrong for the brother to say thatbecause boys roam outside girls cannot. It is wrong to protect girls by keeping them at home.," No - Girls can work too, it is wrong for Vishal to tell her to stay at home and look after the children. Girls can work too.",,"No - She  can work too, her husband can also take care of the house.","No - Seema can go to the picnic, her brother can look after the baby."
466,T2,,,,,,,,,,
467,T2,,,,,,,,,,
468,T2,,,,,"No - Because he has an interest in it, he can become a big designer and open a salon and earn for his parents.",,,,,No - Her  brother can take care of the child and she can go for the picnic.
469,T2,,,,,,,,,,
470,T2,,,,,,,,,,
471,T2,,,No - Because it is her right to wear whatever she wants to. ,,,,No - The work that Madhuri does is her right and household chores are not just done by the man but also by the woman.,,No - Becuase it is Sarika's right and both of them are responsible for the house.,
472,T2,,,,,,,,,,
473,T2,,,,,,,,,,
474,T2,,,,,,,,,,
475,T2,,,,,,,,,,
476,T2,,,,,,,,,,
477,T2,,,,,,,,,,
478,T2,,,,,,,,,,
479,T2,,,,,,,,,,
480,T2,,,,,,,,,,
481,T2,,,,,,,,,,
482,T2,,,,,,,,,,
483,T2,,,,,,,,,,
484,T2,,,,,,,,,,
485,T2,,,,,,,"No. Since the house belongs to both, both should earn and run it.",No. Because everyone has an equal right to education.,No. House belongs to both and so does the responsibility to run it.,
486,T2,,,No. Because Gauri wears clothes as per her desire and the people who tease are wrong.,,,,,"No. Because everyone has an equal right to education. And since the home belongs to both, so should the chores.",,
487,T2,,,,,,,,,,
488,T2,,,No. Because every girl has the right to wear what she likes to.,,,,,,No. Because doing household chores and concieving a child is not the only work for women. They should also (be able to) display their expertise.,
489,T2,,,,,,,,,,
490,T2,,,,,,,,,,
491,T2,,,,,,,,,No. Sarika should go to work. Both can look after the household. The home belongs to both hence so should the work.,
492,T2,,,,,,,,,No. Sarika should go to work. Both can look after the household. The home belongs to both hence so should the work.,
493,T2,,,,,,,No. Women should also work. Men should not consider women any lesser than themselves.,,,
494,T2,,,,,,,,,,
495,T2,,,,,,,,No. Because everyone has the right to education.,,
496,T2,,,,,No. They should understand this and they should support Sushil since he could turn into making a big name for himself (in fashion designing).,No. Because Priya is old enough now and she can take care of herself.,,No. Roshni's mother should treat both of them equally.,,
497,T2,,,,,,,,,,
498,T2,,,,,,,,,,
499,T2,,,,,,,,No. Boys & girls both should be educated.,,
500,T1,,,,,,,,,,
501,T1,,,,,,,,,,
502,T1,, ,,,,,,,,
503,T1,,,,,,,,,,
504,T1,,,,,,,,,,
505,T1,,,,,,,,,,
506,T1,,,,,,,,,,
507,T1,,,,,,,,,,
508,T1,,,,,,,,,,
509,T1,,,,,,,,,,
510,T1,,,,,,,,,,
511,T1,,,,,,,,,,
512,T1,No. She has the right to choose her life partner.,,,,,,,,,
513,T1,,,,,,,,,,
514,T3,,,,,,,,,,
515,T3,,,,,,,,,,She has a right to travel and thats why she should go for the trip. The brother should taker of the child 
516,T3,,,,,,,,,sarika has right to work as per her wish. her duty is not only to take care of the house children,
517,T3,,,,,,,,,,
518,T3,,,,,,,,,,
519,T3,,,"No, its the boys fault her",,,,,,,
520,T3,,,,,,,,,Sarika should get her right to work because she likes to work,
521,T3,,,"its not Gauri's fault. its her right to go out, wear fancy clothes. its people's fault. Why don't they tease boys who wear short clothes",,,"She should go for the program. its her right to go out. What if it was boy's program, then he would have gone",Both should work and take care of house and children. She also has right to work,,Sarika should work. They both should do housework and can go out. It her dream to open her parlour and its her right,Brother can also do housework and take care sibling. its more important that the sister goes for the picnic thatn brother playing the cricket. Why only seema should do household chores
522,T3,,,She has right to roam around and wear clothes,,,"She should be allowed to go, its her right",,,,
523,T3,,,,,,,,,,
524,T3,,,,,,,,,,
525,T3,,,,,,,,,,
526,T3,,,,,,,,,,
527,T3,,,,,,,,,,
528,T3,,,,,,,,,,
529,T3,,,,,,,,,,
530,T3,,,"She is independent,she can wear fashionable clothes. Why should  she leave wearing such clothes if other boys tease her.  she should not leave",,,She should allowed to go for the program. instead staying back at she will enjoy at programme. if girls go out in the evening then they will not be harassed,,"Girls have right to education. even boys should work, they can also do household chores. Mother should should divide the work equally among them",,She has right to go on a picnic. Her brother can take care of the younger sibling
531,T3,,,,,,,,,,
532,T2,Because she has right to love.,,,,,,,,,
533,T2,,,Because She should take help of police. And make the boys understand that she has right to wear.,,,Because Priya has right to go out and she should take hepl of people around if teasing happens.,Both have right to work.Both should fulfill family needs and work together.,Both should do the housewoek together and both should concentrate on studies and help mother.,Both should work. If boys have right to work why girls don't have it?Both Should look after the house.,
534,T2,,,Because Gauri has right to wear shorts and all kinds of clohtes. The neighbours sould collectively make complaint of the boys.,,Boys playing with dolls and girls playing with cars don't make them girls and boys respectively.,,,,,
535,T2,,,,,,,,,,
536,T2,,,,,He also has the right to. He is small and should be allowed to play with the dolls.,She has right to hang out. Boys hang out till late night. But girls should be allowed to go also.,She also has the right to work. Earning better is no reason to prohibit her from working. If she wants to work; she should be allowed.,Both have the same rights. Discrimination should not be done. Mother should make her also study.,She also has right to work.Boys have the right. She should also get it without discrimination.,Her brother also has the responsibilities.She also has the right .If the boy can play why she cannot go.
537,T2,,,,,Because he is a little kid . If he wants to play with it he should be allowed.,,,,,
538,T2,,,,,,,,,,
539,T2,,,,,,,,No Roshni too has right to get educated. Their mother should equaly divide the resposibilities to them.,,Father's decision is wrong as he should himself take care of the baby or tell her brother as he can play cricket anytime.
540,T2,,,,,,,,,,
541,T2,,,,,,,,,,
542,T2,,,,,,,,,Women have right to work. Male- female discrimiination is wrong.,
543,T2,,,,,,She can go with her friends. She is 19 yrs old and can take care of herself.,,Mother's behaviour is wrong as it discriminates between them.,,
544,T2,,,,,,,,,,
545,T2,,,,,,,,,,
546,T2,,,,,,,,,,
547,T2,,,,,,,,,,
548,T2,,,,,,,,,,
549,T2,,,,,,,,,,
550,T2,,,,,,,,If both Roshni and Arun both complete household tasks together; they both can go to school. Girls are clever than boys.,,
551,T2,,,,,,,,,,
552,T2,,,,,,,,Because Roshni too has right to education and she should get it or household work should be distributed between them.,,Because Seema's brother too can look after the baby. And she should be allowed to go for the picnic. She like to go out with her friends.
553,T1,,,"No, she has the right to where what she likes. The boys are at fault because they tease her.",,,,,,,
554,T1,,,,,,,,,,
555,T1,,,,,,,,,,
556,T1,,,"No, because how boys are free to do and wear what they please, so are girls. This is not the girl's mistake.",,,,,,,
557,T1,,,,,,,,,,
558,T1,,,,,,,,,,
559,T1,,,,,,,,,,
560,T1,,,,,,,,,,
561,T1,,,,,,,,,,
562,T1,,,,,,,,,,
563,T1,,,,,,,,,,
564,T1,,,,,,,,,,
565,T1,,,,,,,,,,
566,T1,,,,,,,,,,
567,T1,,,,,,,,,,
568,T1,,,"No. Girls love fashion. Her body, her choice. Boys should change their attitude.",,,,,,,
569,T1,,,,,,,,,,
570,T1,,,,,,,,,,
571,T1,,,,,,,,,,
572,T1,,,,,,,,,,
573,T1,,,,,,,,,,
574,T1,,,,,,,,,,
575,T1,,,,,,,,,,
576,T1,,,,,,,,,No. There is gender equality. Man and woman have equal rights. Both can earn and succeed in life.,
577,T2,,,,,,,,,,
578,T1,,,"No. Poonam likes to wear Jeans, Skirts, which is not a fault. Society is not treating women eqaully, if we do, then boys won't tease girls.",,,,,,,
579,T1,,,"No. This is 21st century. People are free to wear what they like. If others are looking with lust, then it is their fault.",,"No. When would a kid play with dolls, if not now? Once grown, probably no one plays with dolls, be it girls or boys.",,,,,
580,T1,,,,,,,,,,
581,T1,,,,,,,,,,
582,T1,,,,,,,,,,
583,T1,,,,,,,,,,
584,T1,,,,,,,,,,
585,T1,,,,,,,,,,
586,T1,,,,,,,,,,
587,T1,,,,,,,,,,
588,T1,,,,,,,,,,
589,T1,,,,,,,,,,
590,T1,,,,,,,,,,
591,T1,,,,,,,,,,
592,T1,,,,,,,,,,
593,T1,,,,,,,,,,
594,T1,,,,,,,,,,
595,T1,,,,,,,,,,
596,T1,,,,,,,,,,
597,T1,,,,,,,,,,
598,T1,,,,,,,,,,
599,T1,,,,,,,,,,
600,T1,,,,,,,,,,
601,T1,,,,,,,,No. Both should share the work. Both have equal right of education. Both should go to  school and study.,,No. Seema should go to picnic. Her elderbrother should look after the baby. Both have equal rights.
602,T1,,,,,,,,,,
603,T1,,,,,,,,,,
604,T1,,,,,,,,,,
605,T0,,,,,,,,,,
606,T1,,,,,,,,,,
607,T0,,,,,,,,,,
608,T1,,,,,,,,,,
609,T1,,,,,,,,,,
610,T1,,,,,,,,No. Because both of them should be educated and men and women are equal.,,
611,T1,,,,,,,,,,
612,T1,,,,,,,,,,
613,T1,,,,,,,,,,
614,T1,,,,,,,,,,
615,T1,,,,,,,,,,
616,T1,,,,,,,,,,
617,T1,,,"No. If she likes to wear fashionable clothes, she has a right to wear them.",,,,,,,
618,T0,,,,,,,,,,
619,T1,,,,,,,,,,
620,T1,,,,,,,,,,
621,T1,,,,,,,,,,
622,T2,,,,,,,,,,
623,T1,,,,,,,"No, it is wrong. Women also have right to work.","No, because she also wants to learn and gender equality should be followed.",,
624,T1,,,,,,,,,,
625,T1,,,,,,,,,,
626,T1,,,,,,,,,,
627,T1,,,,,,,,,,
628,T1,,,,,,,,,,
629,T1,,,,,,,,,,
630,T1,,,,,,,,,,
631,T1,,,,,,,"No, because she also has right to work. If she works, then both will lead a happy life and their domestic needs will be fulfilled.",,"No, because she also has right to work. If she works, then both will have a better life.",
632,T1,,,,,,,,,,
633,T1,,,,,,,,,,
634,T0,,,,,,,,,,
635,T0,,,,,,,,,,
636,T0,,,,,,,,,,
637,T1,,,,,,,,,,
638,T1,,,,,,,,,,
639,T0,,,,,,,,,,
640,T1,,,,,,,,"No. If both do household work, both can study.",No. She can also work & fulfill household needs. Arun should not differentiate between them.,
641,T0,,,,,,,,,,
642,T1,,,,,,,,No. Both should take care of household work & both should study. Mother should love both equally & should not differentiate between them.,,
643,T1,,,,,,,,,,
644,T1,,,,,,,,,,
645,T1,,,,,,,,,,
646,T1,,,,It is wrong to harass girls so Shoib should not stay calm,,,,,,
647,T1,,Since father beats he should be left,,,,,,,,
648,T1,,,,,,,She has right to earn money,,,Even Sarika has a right to do business
649,T1,,,,,,,,,,
650,T1,,,,,,,,,,
651,T1,,,,,,,,,,
652,T1,,,,,,,,,,
653,T1,,,,,,,,,,"No, She too can work and open a beuty parlour."
654,T1,,,,,,,,,,
655,T1,,,,,,,,,,
656,T1,,,,,,,,,"No, Girls should visit places and not work. The father is dicriminating between a boy and a girl","No, Sarika should work there should be no discrimitaion bettewn boys and girls."
657,T1,,,,,,"No, Girls have freedom now, if she is member of a social program she must go.",,,,
658,T1,,,,,,,,,,
659,T1,,,,,,,,,,
660,T1,,,,,,,,,,
661,T1,,,,,,,,,,
662,T2,,,,,,,,,,
663,T0,,,,,,,,,,
664,T0,,,,,,,,,,
665,T1,,,,,,,,,,
666,T0,,,,,,,,,,
667,T1,,"Yes, my father also drinks a lot and harrasses my mother like this. He beats her a lot and I feel bad. I do not feel like staying with him",,,,,,,,
668,T1,,,,,,,,,,
669,T1,,,,,,,,,,
670,T1,,,,,,,,,,
671,T1,,,,,,,,,,
672,T1,,,,,,,,,,
673,T1,,,,,,,,,,
674,T0,,,,,,,,,,
675,T1,,,,,,,,,,
676,T0,,,,,,,,,,
677,T1,,,,,,,"No. Both spouses should work. Not just the man, the woman should also work. They should both do house work as well as be employed.",,,
678,T1,,,She should ignore those who do this and not even care to look at them. She should complain to the police. As a woman she has the right to free movement. ,,,,,,No. Women also have the right to work. They can both take care of the house as well as go to work. ,
679,T1,,,,,,,,,,
680,T1,,,,,,,,,,
681,T1,,,,,,,,No. Both should be given equal rights. They should divide the tasks between the two of them equally. Girls are entitiled to the same rights as boys and their mother should ensure this. ,,
