Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
169,T0,"Yes, Pranita was wrong, that's why he hit her",,"Yes, Poonam suffers because of her clothes",,,,"No, Nisha's salary is higher, Mahesh should also get more",,"No, Ramesh goes to work so Priyanka doesn't need to go","No, girls know how to take care of young boys"
170,T1,,,"Yes, Poonam wears wrong clothes, that's why the boys whistle at her","No, Ganesh's friends are wrong, he should not stay with them",,,"No, Nisha should look after the household",,"No, Priyanka should look after kids and household",
171,T2,,"No, Going to village in not a solution. Every husband and wife fight. Family should stay together",,,,,,,,
172,T1,,,,,,,,,,
173,T2,,,,,,,,,,
174,T1,,"No, Samir is wrong","No, Poonam is wrong","No, this is wrong",,"No, this is right",,"No, Shruti is wrong",,"No, Neena is wrong"
175,T2,"No, she had an affair","No, this is wrong",,,-,,,,,
176,T2,,"No, mother father love each other. No matter what, he is still a husband. She can't leave and therefore it is wrong of Tushar.",,"No, he should make his friends understand that there are girls in his family. He should ask them what if it was their sister?",,,,,,
177,T0,"Yes..,because Pranita is already married,, and she should stop the affair with other person.","No., because what Samir say is incorrect ,they should not leave the house.","Yes.,because if Poonam will not wear short cloths(western clothes) then boys will not teas her .",,"Yess., because if Chetu continue playing with dolls soon he will become girl.","Not.,because to attend school programme is unsafe for Nisha.",,,,
178,T3,"Yess., because she should have said in advance that she did not want to marry Ramesh . ",,,,,,,,,
179,T0,It is correct  Pranita should inform her husband about her affair because its been 10 years to their marriage .   ,"Yess.,even if the husband beats his wife at the end he loves his wife. ",,,,,,"Yes,while doing household chores Shruti should  manage to study.","Yes,if Priyanka wants to start her beauty parlour she  she should do so after having  kids .",
180,T2,"Yess., because she should already tell that she did not want to marry Ramesh . ",,,,,,,,,
181,T2,,"No.,fight will be over but the anger will remain the same.",,,,"Yes.,mostly in night it is unsafe for girls.",,,,
182,T2,"Yes.,because there is something  missing in their 10 year marriage life thats why she had an affair. ","No.,Samirs  father  is beating his wife because he is  tired after working. ",,,,,,,,
183,T2,"Yes.,because she should not do like this.",,,,,,,,,
184,T0,"Yes,because its her fault (nasty behaviour).","No,father is tensed thats why he is beating his wife.",,,"No,he will become gay.","Yes,boys will tease her.","Yes,it might be unsafe for her.",,"Yes,because he care for her .",
185,T3,,,,,,,"Yes,because Nisha should focus on  household chores and stay at home.",,,
186,T0,,,,,"Yes,because his parents care for him and they are also concerned about their reputation in the society.",,"Yes,because Nisha should work at home.",,,
187,T0,,,,,"No,because he is a man and he is 10 years old.",,,"Yes,because mother must rest since  she is not well and Shruti shlould do all the house work.",,
188,T2,,"No,because i bilieve that if a man beats his wife it means he loves his wife.",,,,,,,,
189,T3,,,,,,,,,,
190,T0,"Yes,because she had an affair with another man.",,"No,because Poonam should wear sari and  go to collage.",,"No,he is a boy and he should not play with dolls.",,,,"Yes,because Ramesh should work out side and Priyanka should manage  household work .",
191,T2,"Yes,if i would have been in place even i would have done the same thing.",,,,,,,,,
192,T1,,,,,,,,,,
193,T1,,,"I agree dont be fashionable, wear simple clothes ",,I agree with his parents he should not play with dolls,,,,,
194,T1,I agree with Mahesh .She should not have to marry with Mahesh  if she was in love with someone else,,,,He will get addicated to dolls,I agree with his parents because at night people teases girls,,,I agree with Mahendra girls should stay at home boys should be sent to out to  work ,
195,T1,,,,,,,,,,
196,T1,,,,,,,,,,
197,T1,,No: because they are family and  have to stay together.,,,,,she should do house hold chores,,,
198,T1,She should not have had an affair,I agree because father causes trobule ,she should not wear short clothes,,Boy should behave like a boy,,Its the man's responsibility to provide for the house ,,,
199,T1,Priyanka was having an affair.  Naturally he felt bad got angry and hit her. He is right,Samir  is breaking their marriage. He shold unite them and tell his father he is wrong,Vrushali should wear decent clothes then no one will tease her. She should not wear jeans but wear decent dresses then no one will whistle at her ,,Akash should stop playing with dolls he should play with boys and tell his younger sister to  study,This is the best option as boys tease there is no need for girls to go out side in the evening.  That is why her brother is right,,Mother is unwell thats why she is right but children shouldgo to school but it is also important to take care of mother,,
200,T1,After marrige no need to do this,They beat up for love no need to left house,,,,,,,,
201,T1,,,,He should be friends with good people,I agree with Aksh's family because it is against society,,,,,
202,T1,I agree with him because she cheated on Mahesh,,,,,I agree with Nirmalas family because it could be dangerous to go outside at night,,,,I agree with Manishas father because I dont know
203,T1,She should not have had an affair,I disagree with Prathmesh because his mother wants to stay together,I agree because Vrushali wears short dreses thats why boys tease her,,,I agree with her parents because her brother thinks if she goes out boys will tease her,,I agree with her mother because mother thinks that her son should be successful so that he can take care of the children,I agree with Mahendra because women should work at home,I agree with manishas father because Her father thinks she must  stay at home
204,T1,I agree with him because she cheated on Mahesh,,I disagree because i think its our life and we  should behave the way we feel but we should not do anything that causes trouble to another,,,,,,,
205,T1,,,,,,,,,,
206,T1,,I disagree with Prathamesh because they should stay together,I agree because Vrushali wears short dreses thats why boys tease her,,,,,,,
207,T1,,,,,,,,,,
208,T1,I agree with Mahesh because Priyanka had an affair and thats why mahesh feel insulted.,,,,,,,,,
209,T1,If you are marry Mahesh then you should be in a relationship with him only,,I agree because one should understand the rest of the people attitude in the community. If there are bad boys they will tease her,,I agree with his parents if he still playing with dolls then he will contine playing with them even when he grows up.,,,,,
210,T1,I disagree with Mahesh. Mahesh should infom priyankas parents,I agree with Prathamesh because he understand the pain of his mother .But even mother is right because she knowns that her husband loves her and even if he beats his wife that means he loves her twice as much,,,I agree with his parents because his parents thing this behaviour may result in living like a girl thats why they stop him from playing with doll. ,,,,I agree with Mahendra because she is married .,
211,T1,,I agree with prathmesh because she has to look after her sons future that is why she has to bear domastic violence.,I agree because Vrushali wear short dreses thats why boys tease her,,I agree with his parents because if he plays with dolls in childhood then he will behave like a girl when he grow ups,,,,I agree with Mahendra he should not allow her to go out,
212,T1,I agree with Mahesh if it is her fault in this situation.  If she didnt have an affair mahesh would not have felt insulted,,I agree because Vrushali and other girls also wants to wear jeans and short dreses and they do not cover body parts which must be covered so thats why boys tease girls,,I agree with his father because boy should  play with only boys  then only he will behave like a boy.,,,,,
213,T1,,,,,I agree with his parents because he will behave like a girl as he grows up,,,,,
214,T1,She should stay only with her husband ,,,,I agree because he should not play with dolls,I agree because what if she was hurt,,,,
215,T1,,I disagree because going to village is a wrong decision ,,,,,I disagree because rutuja should be allowed to work so that her income will increase,,,
216,T1,,I disagree with Prathamesh because father has tension of work.so they behave like that,,,,,I agree with Amir because he is saying the right thing,,,I agree with her father because she should help at home instead of going outside
217,T1,,,,,"I agree with his parents because when he groes up , he should go to school.",,,,,
218,T1,I disagree with mahesh because Mahesh misunderstood her.,,I agree because vrushali happy to show her naked body.,,,,,,,
219,T1,,,,,,,,,I disagree with mahendra because she should to do household chores and take care of the  house.,
220,T1,,,I agree because she should not wear such clothes.,,I disagree with his parents because let him behave as he likes he will change as he grow up.,,,,,
221,T1,,,I agree because of her dresses.,,,,,,,
222,T1,,I disagree with prathmesh because his father beat up to mother due to tiredness of work but still he love her.,,,,,,,,
223,T1,,I disagree with prathmesh because if his mother give them dinner early then his father will not beat her up,,,,,,,,
224,T1,,,,,,,,,,
225,T1,,I disagree with prathamesh because his father was tired. so leaving him is not right. ,,,,,,,,
226,T1,,I disagree with prathamesh because his Mother should not get Insulted.& his father should not drink alcohol.,,,,,,,,
227,T1,,I disagree with prathamesh because she should not leave her husband,,,,,,,,
228,T1,I agree with Mahesh because after getting married she had an affair with some one.,,,,"I agree with his parents. Akash is just only 6 year old, he loves to play.",,,,I agree with mahendra because she has to do household chores.Mahendra can bear expenditure.so I agree with Mahendra.,
229,T1,,,,,,,,,,
230,T1,,I disagree with prathmesh because all should live together,,,,I agree because at night she should not go out side.,,,,
231,T3,,,,,,,,,,
232,T3,,,,,,"No, because if her brother went with her to drop and pick her up from the school nobody will try to tease her and she will also able to attend school programme",,,,
233,T3,"Yes, because she is married now, so even after being married having an affair with neighbor is wrong","No, maybe she is tolerating all this violence because she loves her husband, it might be her true love",,,,,,,,
234,T3,,,,,,,,,,
235,T3,,,,,,"Yes, because even if she tries hard to escape , she can get teased & harassed when she goes outside",,,,
236,T3,,"No, because without parents there is no home","Yes, because she should wear traditional dress",,,"Yes, because girls get teased and harassd",,,,
237,T3,"Yes, she should have informed her husband about her affair, in this way all the  misunderstandings will be avoided","No, he should try to understand",,"Yes, why should he try to explain to them in the first place?",,,,,,
238,T3,"yes, it's her fault",,,,"Yes, he is not a child now",,,,,
239,T3,,"No, because his mother loves his father, so they should stay together",,,,,,,,
240,T3,,,,,"Yes, it's correct, if he doesn't break his habbit (playing with dolls), it might become permanent habit for him",,,,,
241,T3,,,,,,,,,,
242,T3,,,,,,,,,,
243,T3,,"No, because samir mother is correct and everybody should stay together",,,,,,,,
244,T3,,"Yes, because samir mother wants to live together with his father so she is ready to tolerate (violence)","Yes, because girls wear tight clothes like jeans and t-shirts",,,"Yes, because in the evening many boys stand at chowks (corners) and sexually harras  girls (her)",Yes,,,"Yes because she is the only daughter so she is spoiled, parents should keep an eye on her. "
245,T3,,"No, because he is his (samir) father and husband of his mother","No, because she wears short dresses so boys stare at her, so need to tell her that don't wear such clothes",,"No, chetu likes to play with his sisters and it's not a correct thing",,,Yes,,
246,T3,,,"Yes, because Poonam shouldn't wear short dresses then boys will not eve tease her",,"Yes, because he should not play with dolls, he should attend school ",Yes because she should not go outside this late and should listen to her parents,,,,
247,T3,,,"Yes, Poonam should not wear such clothes, if girls wear such clothes boys tease them.  People should ask poonam to wear proper clothes",,"Yes, chetu should stop playing with dolls and start playing with his sisters","Yes, Nisha's brother should go with her and if he doesn't have time, her father should go with her",Yes,Yes,Yes,Yes
248,T3,"No, Ramesh should lodge a police complaint against pranita as she cheated on him",,,,,,,,,
249,T3,"Yes, nobody should have such affairs",,"Yes, she shouldn't wear such clothes",,"Yes, he likes to play with dolls so parents should allow him to do whatever he wants to do","Yes, such girls shouldn't be allowed to stay in society",,,"Yes, priyanka should give more attention towards house chores",
250,T3,"No, because she had affair with another man",,"Yes, because she wore such dresses on a daily basis",,"Yes, because if he keeps playing with dolls daily who is going to do housechores","Yes, because if she goes out she will get harassed ",,,,
251,T3,,,,,,,,,,
252,T3,"Yes, because she is married and she loved someone else ",,,,"Yes, because if he keeps playing with dolls daily who is going to do housechores","Yes, because if she goes out she will get harassed ",,,,
253,T3,,"No, I agree with mother as family should stay together and samir father is the only person who is earning into the family",,,,,,No,,
254,T3,,,,,,,,,,
255,T3,,No,,Yes,,,,,,
256,T3,,"Yes, Mother of samir loves his father and family so she doesn't want to stay away from the family and she shouldn't",,,Yes,,,,,
257,T3,,,,,,,,,,
258,T3,"No, because she is having affair with another person even after she is married","Yes, because families should stay together",,,,,,,,
259,T3,,,,,,,,,,
260,T3,"Yes, she was talking with the neighbour but Ramesh doubts her","No, husband is husband after all and his mother loves her husband so she is not agree with her son i.e. with Samir","Yes, because it's her age - she is living like a model, will she act in the same way when she gets married?","Yes, because Ganesh respects that girls so he keeps calm about the whole issue",,,"Yes, because men have to fulfill the needs of the family and that's why he is asking her to leave her job",,,
261,T3,"Yes, because she selected another man even when she is married",,,,,,,,,
262,T3,"Yes, if someone's wife is having affair with someone else that husband will get angry for sure","No, because they (mother & father) can't live without each other",,,,,,,,
263,T3,,No,"Yes, she should not wear such clothes",,"Yes, he shouldn't play with dolls","Yes, need to keep Nisha at home","Yes, Vishal should do the job",,"Yes, Priyanka should look after the house","Yes, she should stay at home"
264,T3,Yes,"No, they (Samir parents) should stay together",,,"Yes, Chetu should play with boys",,,,,
265,T3,,"Yes, because Samir's mother does not agree to leave her husband because she has to stay her whole life with him & run the family. ",,,"Yes, it's correct because they should stop him from playing with dolls","Yes, it's right becuase Nisha should not go outside in the evening",,,Priyanka should do household chores first and then should go outside to work,
266,T3,,,,,,,,,,
267,T3,"Yes, because she has affair with neighbor, so she deserves the beating by the hands of her husband",,"No, it's her mistake because she wears western clothes","Yes, because he might lose his friends because of those girls","Yes, because his parens feared that he might start behaving like a girl","Yes, because girls should also get respect","Yes, because men are responsible for earning bread & butter for the family, it's men's duty to fulfill the needs of the family and that's why he asked Nisha to leave her job",,,
268,T3,,,,"Yes, because he don't want to lose his frineds",,,,,,
269,T3,,,,,,,,,"Yes, because Ramesh should let Priyanka work so that their family will keep running (will not face financial problems)",
270,T3,,"No, because he is his father & his mother's husband after all, so can't leave him like that",,,,,,,,
271,T3,"Yes, because Pranita is married with Ramesh, so she should not do an affair with another male","No, because fights are common between husband & wife, so instead of living separately we should explain them to not fight","Yes, because she should wear clothes by keeping in mind her surroundings and community members.",,"Yes, because Chetu is now 10 years old and he should not play with dolls now.","Yes, because girls should not go outside and roam around during nights and if they go outside they should take their brother with them","No, because Nisha can run family and she should do it","Yes, because it's Shruti's job and Navnath should help her little bit in house hold chores.",,
272,T3,"No, because whatever Ramesh did is correct. Hitting her is the correct step",,"Yes, because she should wear clothes by keeping in mind her surroundings and community members, how it is.",,,,,,,
273,T3,,"No, because Samir's mother is right and true, mothers need to look after the families.",,,,,,,,
274,T3,,,,,,,,,,
275,T3,,No,Yes,Ganesh should not do it because he don't want to lose his friends,,,,,,
276,T3,,,,,"Yes, because he is 6 years old, he needs to be sent to school",,,,,
277,T3,"Yes, because If I was there I'll explain her that stop doing such affairs, if her husband is beating her then she should stop her affair","Yes, I'll speak to his father and tell him that you should not beat, but sometimes it happens",,,"Yes, because he is still very young",,,,,"Yes, because Nina also needs to look after her baby brother"
278,T3,"Yes, because she shouldn't cheat on Ramesh like this","No, because they should live together and samir should explain to his father",,,"Yes, because chetu should not play with dolls",,,,,
279,T3,"Yes because it's Pranita's fault, she behaved wrongly",No. because Samir's father has tension due to work and tha't why he gets angry often,,,,,,,,
280,T3,Yes because Pranita is married and still she loves another man,"No, because to work is men's right ",,,"Yes, because Chetu is now six years old so playing with dolls does not suit him",,It's wrong to ask Nisha to stop working because she is earning more than her husband,,,Taking care of the child is women's responsibility
281,T3,,,,,,,,,,
282,T3,,,,,"No, because Chetu is still very young, he doesn't understand that he is playing girls games",,,,,
283,T3,"Yes, because Pranita cheated on her husband Ramesh but still instead of hitting her Ramesh should divorce her",,,,"Yes, Chetu should now start attending school",,"Yes, because Mahesh is earning enough money so Nisha should stay at home and look after the family.",,,
284,T3,,,,,"Yes, I  agree with Chetu's parents",,,,,
285,T3,,,,,,,,,,
286,T3,,,,,,,,,,
287,T3,,,,,,,,,,
288,T3,,,,,,,,,,
289,T3,,,,,,,,,,
290,T2,Yes she deserves to be hit because she should not have had an affair ,,,,,,,,,
291,T2,Yes she derserves to be hit because she has bad character,I disagree with the son because of tension the father is angry and hits,,,"Yes, I agree with his parents because he will become a Chakka (transgender)","Yes, this is the only solution, because boys tease girls ",I agree with him that she should stay home and not go outside to work,,Yes I agree with the husband because he is worried about his wife,
292,T2,,,,,,,,,,
293,T2,,,,,,,,,,
294,T2,,,,,,,,,,
295,T2,"Yes, she deserves to be hit because Suresh felt insulted and hit her because she had an affair with another person","I disagree with Tushar, becasue he wants to leave his father and go to the village",,,I agree with his parents becasuse he is big and he still plays wih dolls ,,,,,
296,T2,,,,,,,,,,
297,T2,,,,,,,,,,
298,T2,,,,,,,,,,
299,T1,"Yes, she deserved to be hit because Suresh is married to Vinita and he know that his wife made a mistake","No I disagree with  Tushar because a person is exhausted after working, because of that the whe gets irritable However he also loves her",,"Yes he should be quiet, because he does not want to loose his friends",,,,"I agree with the mother because the mother feels that if she is no more then her children will starve, so she feels Roshni should focus on cooking and Arun should focus on studying",,
300,T1,"Yes, she derserves to be hit because having an affair is wrong","I disagree with Tushar, because they should stay together because they are married ","Yes, it is Gauris fault because it has happened because of her clothes","Yes, he should be quiet. His friends tease girls and he should be calm","Yes, I agree with the parents because he has to go ahead and become somebody",Yes this is the only way to protect her because if she does not go outside no one will harass her,I agree with Vishal because she needs to work in the house,"Yes, I agree with the mother that she should do househiold chores. However study is also important ","I agree with Vinod, work should be done at home",I agree that this is the only way to protect her and hence she hould not go there and stay at home 
301,T1,,I disagree with Tushar because every one should live together ,,,I agree with his parents because it is a girls game ,,,,"I agree with Vinod, she needs to sit in the house and earn money ",I agree with the father Seema should take care of the child
302,T1,Yes she deserves to be hit because she loved someone else while Suresh was there,,,,,,,,,
303,T3,,,,,,,,,,
304,T3,"Yes, she deserves to be hit because she made a mistake by having an affair, especcially being married ",No I disagree with Tushar because his father should not be alone and they should not go to the village ,,,,,,,,
305,T3,,No I disagree with Tushar because the family whould stay together and understand the story of Tushars father. If they listen the love will grow ,,,,,,,,
306,T3,,,,,,,,,,
307,T3,Yes she desrves to be hit because Suresh loved Vinita and Vinita cheated on him ,,,,,,,,Yes I agree with Vinod becasue he is correct she should take care of the house,I disagree with the father becasue Seema has the wish to go on the trip but her family does not send her. 
308,T3,,,,,,,,,,
309,T3,"Yes, she deserves to be beaten because if she was not married then she could have had an affair with her neighbour. She is married to Suresh and still has had an affiar so her husband is not feeling good about it ",,,No he should not remain quiet because if they touch the girls everyday then their image will be tainted ,,,,,,
310,T3,Yes she derves to be hit becauses Vinita has an affair with another person ,"No I disagree with Tushar because, despite how much her husband harasses her, her future and marriage is important",,,"Yes, I agree with the parents because he is a 10 year old boy and if he continues to play with dolls he will have a mental breakdown ",,,,I disagree with Vinod because she should stay at home and not worry her child. ,
311,T3,,,,,,,,,,
312,T3,Yes she derves to be beaten because she cheated on him and his honour/reputation was affected ,I disagree with Tushar because this is how fights are between husbands and wives ,,"Yes, he should be quiet. The girls should go to the police man or tell their parents",,Yes this is the only solution because her brother is worried about her ,,,,
313,T2,,,,,,,,,,
314,T2,Yes she deserves to be hit becasue after getting married she should not have had an affair with another person ,,,,,,,,,
315,T2,,No i disagree with Tushar because he should not talk openly about it ,No it is not Gauris fault because she has rights,No he should not remain quiet because he should explain to his friends,,,,I agree with the mother becasue Roshni is the oldest ,,
316,T2,No she does not deserve to be hit. He should think if the story he has heard is true or false. Hitting for every single thing is not right ,,,,,,,,,
317,T2,No she does not deserve to be hit. He should ask himself first if his wife is correct or wrong,,,,,,,,,
318,T2,,,,,,,,,,
319,T3,"Yes,she deserves to hit because she must inform her husband about her relationship. she is married.","No, i am not agree with tushar, because her mother's opinion was right. she is ready to stay with husband .",,,"yes, parents are right, because if he play with doll for long time, then he cant do anything in his life. ",,,"yes,mother was right, because she has worked the whole day and now needs to relax.",,
320,T3,,,,,,,,,,
321,T3,,,,,,,,,,
322,T3,,,,,,,,,,
323,T3,,,,,,,,,,
324,T1,,If we go to our village then who will feed us. Therefore his mother decided.,She should wear girls clothes. Boys will talk good things about her.  Girls should behave like a girl,,,,,,,
325,T1,She is not having an affair with the neighbor.,They should not got o the village.,,,Yes. if he plays even when he is grown up. It will be a big problem.,SHe is 19. Thats why boys tease her.,,,,"Brother can take care of the baby, but when he goes out to play then who will take care."
326,T1,She should not do this again.,,,"If the girls are like his sister, he should not remian silent.",,A lpt can happen with his sister outside of home. If she stays at home nothing much will happen.,She should stay at home as he can earn.,She should do hosuehold chores as she will get used to it. ,,
327,T1,,,,What Shoaib is telling his friends is right because even he has a mother and sister.,,,,He should focus on studies and not work.,,
328,T1,She should understand that she is married.,Tushar should understand his father.,"Because, those boys dont have sisters. They dont understand  the importance of girls. Thats why they tease Gauri. Its not Gauri's fault.","What if instead of those girls, they would have been their sisters or mothers. Shoaib should tell them not to do this.",Vishal should play games meant for boys.,,Madhuri should send Anil to work in her place and should take care of the house.,Arun should understand that the mother is unwell and he should help Roshni.,Sarika should listen to Arun.,He should send Seema for a  picnic. The mother should take leave and stay at home.
329,T1,,Tushar's father insults his mother that Tushar tells his mother but the mother doesnt agree.,Is she wears short skirts then all friends and other boys will insult her.,HAd it been yourn sister would you have touched her? No right? Arent' all girls our sister.,,"When girls step out, boys harrass them and touch them",,She should not run away and do cooking and take care of younger siblings.,,
330,T1,,,Gauri behaved in this manner. Thats why boys tease her. It is Gauri's fault.,,I agree with Vishal's parents.,,I agree with Anil.,,I agree with Arun.,
331,T1,Its wrong of Suresh to beat Vinita. He doesnt have proof of affair. He cant accuse her of it. He is insulting her.,"Tushar's father works and earns money. He spends it for home. If he beats his wife, she tolerates it. If she leaves her husband he will be alone. Who would give him food and clothes. Husband loves his wife and so does wife loves her husband",Gauri likes to wear fashionable clithes. But its boys way of looking which is problematic. She shouldnt wear such clothes and go out in streets. ,,,,,,,
332,T1,"Yes, she did this after marriage.","No, because if there is no father no one will give him importance.","Yes, because boys harrass girls based on their clothes.",,Yes because he will be used to it. He will get the habit of sitting with women,Yes because boys harrass.,Yes because she should work at home otherwise he will get angry.,,Should listen to husband. Should fulfill household responsibility.,
333,T1,,"Yes, both of them love in family. Father is frustrated becaue its his work. They both should try and adress in sessions. They should not leave him alone.",No because its not Gauri's fault at all. She wants to live independantly. Everyone has the right to live independantly. ,,,,,,,
334,T1,,No because Tiushar should talk to his father properly.,No because gauri should be allowed to wear fashionable clothes if she likes.,No becasue Shoaib should tell their parents.,,"Yes because its important for her to stay at home because if she goes out for the program, she will be harrassed.",,,,
335,T1,No because she is not having an affair. Thats why he should not beat her.,,Yes,Yes because he should stay away from his friends.,,Yes,,,,
336,T1,Yes ,,Yes ,,Yes ,Yes because Priya's brother is worried about her.,,,,
337,T1,,Yes because he likes his father,Yes,Yes,Yes ,,,,,
338,T1,,No because everyone should listen to father so that he wont get angry.,Yes ,Yes,Yes ,,Yes,,Yes,Yes
339,T1,Yes,Yes because mother loves father.,Yes,Yes because Shaoib should not pay attention to the boys.,No because Vishal should not play with his sister.,Yes,,,,
340,T1,Yes,"No because no matter how much he hits -he is the father. If they leave, he will be all alone",Yes,,,,,,,
341,T1,Yes,,Yes,,,,"Yes becasue is she works, the society will get insulted and thats why she should stay away.",,,
342,T1,Yes because she betrayed.,No.,Yes,,Yes,,,,Yes,
343,T1,,,Yes,Yes becauser he should only do one thing- Break up with his friends,Yes,,,,,
344,T1,,No because she is living under pressure. Thats why he thinks so,,,,,Yes,,,
345,T1,,,,,,,,,,
346,T1,"Yes, because she need not love another person after marriage.","No, because they are our fathers. They brought up and have grown up. So why should we leave him","No, girls should wear decent dresses. Not to wear short dresses.",,"Yes, because Vishal's mother should have to understand that Vishal is too small.","Yes, because going outside of home is dangerous for them. But is she wishes to, permission can be granted to her.",,"Yes, because if mother is not well, then she should take care of her house and make food for her",,
347,T1,"Yes, because Vinita has a husband.",No because akways live together.,"Yes, because this is her hobby.",,"Yes, because playing with dolls is not for boys.",,"yes, because Madhuri should say she is convinced with what Anil is saying.",,"Yes, because Sarika should not do business. ",
348,T1,"Yes, because she has ab affair with offer. So she deserves to be beaten up","No because, during dinner mostlky they beat up the mother and insulted her. And Tushar agreed on that.",Yes because she doesnt have to be dressed like that.,,"Yes, because I agree with Vishal's parents.","Yes, because colleges arrange social programme in the evenings. When she told this to her mother, her brother said not to give her permission to go out.. When girls go out  boys tease them. Thats why staying at home in the evening is right.","Yes, because Madhuri should do all household chores. House can be run by Anil;s earmning.",,"Yes, because Sarika should clean utensils , clothes. house. So, instaed of going out, she should take care of  the home.",
349,T1,"Yes, because he did correct things. He should beat her even more. ",No,No because Gauri should wear proper clothes that cover her body,,,,,,,
350,T1,Yes,,"Yes, why do girls need to wear short clothes",,,"Yes, why should girls step out in the night.",,Yes because girls do the household chores.,Yes,Yes because girls can take good care of children
351,T1,,No,Yes because she should wear good clothes,,,,,,,
352,T1,,,,,,,Yes,,Yes,
353,T1,Yes because Vinita is having an affair with Suresh. SO its justified.,,"No because what she likes, she will do.But the way boys behave is wrong. However, even Gauri is at fault.",,,,,"Yes, because how will Roshni and Arun pay attention",,
354,T1,Yes because she is having an affair.,"No, because he doesnt like his father's behaviour.","Yes, because she wears jeans, short skirts and boys harrass her.",,,,,"Yes, because her brother should become a big man.",,"No, because Seema's father trusts her, thats why he thought of her."
355,T1,Yes because Suresh should cut Vinita into pieces.,,Yes because she is putting her respect into jeopardy. Of course boys will talk badly about her,Yes because Shoaib should not lose his freinds. How will he mangae without friends?,Yes,"Yes, because family is worried.",Yes,,"Yes, because Arun is right.","Yes, because brother must be tired after playing cricket."
356,T1,"No, because it could be a misunderstanding","No, because dont leave the father. Family should live together. Father should not do that.","Yes, because should not wear half dresses and not look at boys when going home.",,,,,,"Yes, because taking household care is important. Meals should be given on time. She should also fulfill the needs of the family and child","Yes, because Seema can take care of baby very well. Thats why she did not go to trip. When mother on leave, she can go then."
357,T1,No because she must be aware of her work. So she should apologize for this.,No because mother knows her husband loves her alot. His mother's opinion should be that they live togethr,"Yes because she should wear full clothes. Irrespectoive of her choices, she must not wear short dresses.",,"Yes, because he should stop to play with dolls. and stop behaving like a girl.","Yes, because her mother and brother think this is the only way not to send her for the program.",Yes,,"Yes, because house can be run by Arun's earnings. Sarika should take care of the house propoerly. Taking care of the baby is her duty.",
358,T1,,"No, because mother knows that after getting tired, her husband gets irritaed and also she knows that her husband loves her too.","Yes, because what type of dress was she wearing. This is why she faced trouble.",,,,,,"Firstly, she should giuve birth to baby and take care of baby. And then, she can do what she likes.",
359,T1,,,,,"Yes, because he should go out and play",,,,,
360,T1,,,,,,"No, because I think the mother did not give permission because she thinks she can accomplish something big and make India proud.",,,,
361,T1,"No, he should not doubt his wife.","No, because he is frustrated due to work.",Yes ,,Yes,"Yes, because Priya should listen to her family.","No, because Madhuri should work at home.",,"Yes, because Sarika should work at home.",No
362,T1,,,Yes ,,Yes because he should play with boys.,,,"Yes, she should work because she is a girl",,
363,T1,"No, because Suresh should confirm this himslef and not rely on what others say.",,,Yes.,Yes.,No,No,,"Yes, because Sarika should do her chore and takle care of kids. If she wants to work, she can set up business at home.",
364,T1,"Yes, because she is already married. They why does she need to get enagged in other relationship","No, because they get tired after heavy work. Thats why gets irritaed. Their parents love each other. ","Yes, because of her dressing sense, she gets harrased.","Yes, because he should stay silent. They are undisciplined. Thats why they tease the girl.","Yes, becasue if he will get addicted about that, then it will create huge pro blems in future. Theats why they think like thta.","Yes, she is 19 years old college going girl. ANd if she will go on road then boys will harrass her. So Priya must go with her mother.",,,"Yes, because she should not go outside for money. Her husband gets enough money. So why does she need to work.",
365,T1,"Yes, because she should not have had an affair.",,Yes,,,,"Yes, because Madhuri should do the household chores.",,"Yes, she should work at home.","Yes, because only she can take care of the baby."
366,T1,,,"Yes, because she is so stupid that she is wearing shorts and other dresses in co-ed school.","Yes, because soemtimes big problems can happen and because of this, friends will hit him and do something to him.",,"Yes, becauseshe will not get this chance againg and her mother should go to pick her up.",,"Yes, because if her mother doesnt make food, how will they work. SO her mother is not making - so she has to make.","Yes, she should listen to ARun  because is she works in parlour, then who will work at home.",
367,T1,,,"Yes, because she shouldnt wear such clothes. Such clothes attract boys and therefore they harrass her.","No, because he makes his friends understand and ask her to travel in another bus.","Yes, because he is young- he should be allowed to play. Sending her for picnic is a waste of money.",,,,,"Yes, because the brother is young and theres nobody to take care of him."
368,T1,"Yes, because they are married. Marriage is not a joke. Suresh is right in  beating her. SHe will be rectified. ","Yes, because Tushar's mother has taken correct decision.","Yes, because she should not wear such clothes- but appropriate ones that cover her body.","Yes, because his friends are dear to him. Her doesnt have other friends. ","Yes, because its girls game. He should not behave like girls.",,,,,
369,T1,,"No, because his father gets tired after working and is irritaed. ",,,"No, because Vishal is a kid. He doesnt understand. he should be allowed to play.",,,,,
