Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
128,T1,"No, they should discuss what exactly is the problem.","Yes, her husband drinks alcohol and beats her, which is affecting her.",,,,,,,,
129,T2,"No, because love is a natural process, may be that is why it could be happened.","Yes, becuase how much his mother will tolerate the violence. ",,"No, .........................","No, because Vishal is small and he likes to play with dolls.",,,,"No, because it is woman's choise to do work.",
130,T0,,"Yes, because Samir's father beat his mother everyday, and Samir feel bad about it, therefore he asks his mother to leave home.",,"No, because if this incident continues, after some time Ganesh will also spoil. Therefore he should not be keep quite.",,"No, because if again wants to go to the college at night she cannot go. ",,,,
131,T1,,"Yes, because his mother is tolerating a lot of pain, and it is not right.",,"No, because if this incident continues, after some time Ganesh will also spoil.","No, because he is still small.","No, it is not like she will be caught in trouble only in college programme, she can be in trouble anywhere.",No,,,"No, ......"
132,T2,"No, because if Vinita's husband is not giving her love, she will be wanting to be with another man. If her husband will give her love, then she will pay attention to him.",,,,"No, because he is still small. Once he will be grown up he will not play with dolls.","No, because if her family members can take care of her at that moment, then she can walk out at night.","No, because Madhuri should tell his husband that if sometimes he will be sick, then there will not be another way for them to get money. so let her do her job.","No, because if their mother is behaving like this, after sometime they will also behave like this.","No, because Sarika can drop her child to nerssary and go for work.","No, because on one day if she is going for school trip, and her brother is going for playing cricket, he can take care of his sister for one day atleast."
133,T0,"No, because Ramesh and Pranita should trust  eachother, and Pranita should have right to love. ",,,"No, Ganesh should tell his friends that their behavior is wrong.",,"No, because her brother should take care of child, and Nisha should get the right to go out.",,,"No, because Priyanka should do her own work, and Ramesh should understand that it is her right to do job.",
134,T1,"No, because Ramesh should understand Pranita. If she would have told him earlier, she shouldn't be facing this.","Yes, Samir's mother should go with him, because samir's mother knows his father.",,"Yes, whatever he has done is right, because he should talk to other boys and live with them.",,,,,,"No. because if she went to trip, it is her father's responsibility to look after home."
135,T2,"No, because Vinita has the right to get a partner of her will.","Yes, because Tushar's father beat his wife, which is wrong.",,,"No, because he is still small.",,,,,
136,T0,,"No, Samir's mother should not tolerate his father. ",,"No, Ganesh should talk to his friends, and help those girls.",,"No, Nisha should go for the programme. Her brother should go with her.","No, both should not restrict each other from working.","Yes, just because Shruti is a girl, she should not told work. Navnath can also take care of home.","No, Priyanka should do her business, along with household work.",
137,T1,"No, because Pranita has right to fall in love.","No, because even if Samir's father is angry he should not insult his wife, and behave good to her.",,"No, Ganesh should explain his friends that it is not good to behave in this way.","No, becuase Chetu is small, he can like anything. Chetu should be allowed to play with the toys he want.","No, Nisha should go for the programme. Her brother should go with her.",,,"No, because if she wants to do work, she should be allowed to do so. If she does not want to do household work, but her own business, she should be allowed.",
138,T2,,,,"Yes, Shohib should make his friends understand.","No, if Vishal likes to play with dolls, then his parents should not feel bad about it, and let him play.","No, then Rahul should drop her to the college.","No, Madhuri should make him understand that what will she do by seating at home.",,,
139,T0,,,,,,,,,,
140,T1,,,,"No, because Ganesh has to understand he will get a lot of friends in life, but what he is doing is right.",,,,,"No, Ramesh has to understand, if they both will earn, there will be no insufficiency of anything.",
141,T2,,"No, it is wrong of Tushar's father to beat his wife without any reason. His mother should listen to Tushar.",,"No, because if it would be Shohib's sister, he would not talk to his friends, therefore he should understand that these girls are sisters of someone.",,,,,,
142,T0,,"No, because Samir's parents should seat together and talk to each other, then they can solve the issue easily.",,"No, because Ganesh should improve his friends. He should tell them, that they also have sisters,  if they will behave good to other girls, their sisters will be protected.","No, because Chetu is 6 years old. It is her age of playing, therefore do not agree with his parents.",,,,,"No, because if Neena's older brother will take leave, Neena can go to trip."
143,T1,,"No, all should leave together, and Samir's father should not beat his wife.",,,"No, because he likes to play with dolls, his playing should not be stopped.",,,,No. Mahesh should let her Nisha do work.,No. Neena'a father should also tell work to her older brother.
144,T2,No,,No. It is not her fault that boys tease her.,"No, because his friends tease girls continously.",,"Bo, because she wanted to go bu her brother did not let her go. ","No, because both should work to earn money.","No, because their mother does not tell any work to Arun, and it is wrong.","No, because they will earn more money if both will do the work.","No, because it is not possible to drop playing cricket for ome day?"
145,T0,,,,No. Teasing or following girl is not right. He should make them understand that girls are helpless.,,,,,,
146,T1,,Yes. Samir's father beats his wife. Samir is saying right things.,,No. Ganesh should not be keep quite and talk to other boys.,"No, because Chetu is small. He is at that age of playing, but his parents stop his playing.",,,,"No, they should live together with unity.","No, because he father is stopping her to take care of little child is wrong."
147,T2,,,,,,,,,,
148,T0,,"Yes, I agree with Samir, because Samir's father beat his mother for no reason.","Here, Poonam's only mistake was she wore such cloths, otherwise boys these days seats on a side of road, and tease girls. And people think because girls wear such cloths, boys tease them.","No. Ganesh should talk to her, he should not be with those friends, and he should tell these things to his friend's home.",,,,"No, because her mother was doing the discrimination between girl and a boy. Shruti also goes to school, but why did she only told work to her? Because of this, I am not agree with this statement.","No, what Ramesh is saying is wrong because both can spend there money on household expenditure, therefore both should work. I am not agree with Ramesh."," No, because Neena's older brother can go to play cricket later too, but Neena's father had done discrimination between them, because that trip was planned for one time only, therefore I am not agree with her father."
149,T1,"No, because love affair works for lifetime, therefore, in that love affair anger and violence is wrong thing.",,,"Friends are the ones who save you from the troubles, but these friends are bringing trouble to them. Ganesh should break friendship with them, and should complaint about them to Police. ",,,"Yes, Madhuri should not listen to her husband, if she works outside the home, then her family members will get money.",,"No, I am not agree with Ramesh, because it is responsibility of both to handle household. I think Priyanka should start her own business. Ramesh is right but, Priyanka can do both the work.","No. Neena's mother can manage to not go to the work for one day, but her brother has lot of time, so he can take care of their little brother, it is not important to play cricket. Therefore I disagree with it."
150,T2,"No, because instead of beating her he should talk to her and solve ther issue.","Yes, because it is wrong of his father to beat his mother without any mistake.","No, because even if she iwll wear old cloths, boys will blow whistle at her, therefore I don't think it is her mistake.","No. Shohib should complaint about them either to police or to their parents. If his friends will be caught doing this, so there are chances that he will also get involved in it. He should leave such friends.",,"No. If Priya's brother is so concerned about security of her brother, then he should go along with her to college. He didn't do it, is wrong.","No, because Madhuri should work, because she will get money and which will help them to do saving.",,,
151,T0,,,,"No, he should not keep quiet. He should tell them the correct thing to do.",,"No, she does not have to stay home but her brother can accompany her to the programme",,,,"No, both should be given equal importance. The older brother could have been asked to not go for his cricket match just for one day."
152,T1,,"Yes, Samir should talk to his father when he is calm and tell him not to do this","No, the boys who tease her should be made to understand not to tease her","No, he should tell them the correct thing to do.",,,,,,
153,T2,"No, she a right to choose a partner according to her wish, or, I agree because even if she has a right to choose a partner as per her wish, she has no right to hurt anyone",,"No, Gauri has the right to wear clothes according to her will and choice.","No, since Shoaib doesn't want to lose his friends he should try his best to make them understand with numerous examples and ask them to attend ECF meetings everyday.","No, Vishal has the right to act according to his will which is denied to him as a kid. Ont the contrary, parents should separate him from it with love.","No, her parents should think of other ways to programme. Her brothers can accompany her and ensure her safety.",,,Sarika has the right to make decision. Alongside the business she shoulod take care of the household.,
154,T0,,,,"No, Ganesh can speak to his friends and make them understand",,"No, because if she doesn't go out then how will she know how to behave","No, if both work they will have a bigger shared income","No, they should both do the household chores so that they can finish fast and study","No, Priyanka can work and manage the house, both.","No, Neena's brother can take care of the child"
155,T1,"No, Ramesh should not beat Pranita as on discussing it they can come to a solution.",,"No, the boys' way of looking is wrong which is why they look at Gauri like that","No, he can tell them that they are like our family and should not be treated thus","No, as he grows older he will understand that we only do such things as children","No, if she wants to go at night don't stop her. If there is any problem, a police complaint can be made.",,,,"No, both boy and girl should get equal justice"
156,T2,"No, Suresh should not beat her. What she did is wrong.",,,Shoaib should ask his friends if they would have done it it she was their sister,He should be allowed to play with dolls along with his sisters. He will improve once he grows up.,,"No, Anil should send her to work and put the money in the bank.",,Sarika should do her business and explain it to Arun.,"No, Seema should be allowed to go for the picnic as she has never been and the father and elder brother should take care of the younger brother."
157,T0,,,,"No, Ganesh should be able to talk to them and make them understand","Yes, Chetu should be able to play with everything","Yes, Nisha can go out","No, Nisha should be able to go to work",,,"No, Neena should be able to go to the picnic"
158,T1,,,,,,"Yes, Nisha can get time to go out",,,,
159,T2,Suresh should not beat Vinita,,,"No, Shoaib should make his friends understand that it's wrong to touch women ","No, once he grows up he will improve. Nothing will happen if he plays with his sisters, he should be allowed to play.","No, Priya should be allowed to go, she will take care of her safety.",,,"No, Sarika should be helped to set up her parlour and allowed to do business","Seema should be allowed to go for picnic, brother can take care of younger brother."
160,T0,"No, women should not be beaten","Yes, when men raise their hand on women they should understand that women suffer",,,,,,"No, because Shruti is given all the household chores while Navnath is given none as he has to study.",,
161,T1,"No, men should not beat women",,,"No, Ganesh should be able to speak to his friends and make them understand",,,,"No, because Shruti can't do all the work alone. Navnath should also share the household chores.",,
162,T2,"No, women should never be beaten",,,"Yes, Shoaib should stay calm as he has to speak to his friends and make them understand","No, he is still a kid, he will understand when he grows up.",,,"No, even girls have the right to go out","No, Sarika should be allowed to work","No, Seema should be allowed to go to the picnic, the elder brother can take care of the house"
163,T0,,,"No, because boys whistle at Poonam when she travels on the road, police gives permission to hit these boys",,"Yes, because he is young, him playing with the sister makes her happy",,"Yes, because both men and women should work","Shruti should finish her work, study properly and look after the mother. navnath should look after the younger brother and sister",,
164,T1,"No, Ramesh should not beat Pranita because she cheated on him, he should speak to her",,,,,,,"No, Shruti should take care of the young children, similarly, Navnath should also look after them",,"No, everyone from Neena's school is going, her parents should send her"
165,T2,"No, Vinita should not an affair. Suresh should not beat her. He should explain to her. ",,,,,,"No, both Madhuri and Anil should work",,Sarika shouls do as she wants,"No, Seema's father should allow her to go for picnic and tell her to go safely and be safe"
166,T0,"No, they have been married for 10 years, they should have consulted their parents first then this would not have happened",,,"No, Ganesh can go to his friends' houses and tell his parents to put a stop to this",,,,,,
167,T1,,"Yes, Samir is right. His father beats his mother so much, they should go away to the village",,,,,,"No, it's not that only girls should do household chores, boys too can have the desire to do it",,
168,T2,,,,"No, Shoaib should go to his friends' houses and complain to their family about them","No, Vishal should be allowed to behave according to his wish, but not for much time.","No, Priya has a right to go out. She has the right to act as she desires.","No, Madhuri should make Anil understand that they both can run the house","No, their mother should take rest",,"No, Seema has the right. She should be sent to Mahabaleshwar."
169,T0,,"No, let's go to the village. Watching father beat you makes me feel like crying",,"No, Ganesh should talk to all of them","No, this is very wrong on the part of his parents","No, girls should also be sent outside the house",,"No, this is wrong on their mother's part",,
170,T1,"No, they are married so he shouldn't do like this","No, Samir's father should be affectionate towards his wife",,,"No, he is still young, he should play with his sisters","No, Nisha should also be able to the programme",,"No, both should help ",,"No, Neena should also go for the picnic"
171,T2,"No, it's wrong to beat her up, she should be explained",,,"No, Shoaib should make his friends understand that what would they do if it were their sister.","No, he should be allowed to play, he is still a kid","No, girls have the right to go out. Borither should let her go. Staying home for securing her is not a solution","No, Madhuri should not leave job. House belongs to both. If shop shuts down, what will he do?",,,"No, Seema doesn't go for picpic. She should be allowed to go and brother can look after kid."
172,T1,"No, if he really loved her then he should not have beaten her","No, if Samir lovingly explained to his father then he would understand. He should not go to the village ",,"No, Ganesh should speak to his friends.",,,,,,"No, nothing will happen if Neena's brother doesn't play cricket for one day. Neena should go for the picnic."
173,T2,,"No, Tushar should tell his father not to fight. Going to the village is not the solution.",,,"No, he will understand once he grows up.",,,,,"No, she doesn't go to picnic often. She should be allowed to go."
174,T1,"No, this is wrong",,,,,,"No, Mahesh is wrong",,"No, this is wrong",
175,T2,,,"No, she has desires, she has rights",Shoaib sees it as wrong,,"No, it's unfair to women","No, Anil should be made to understand",,"No, Sarika is right.","No, Seema has rights. She should be allowed to go for picnic."
176,T2,"No, Suresh should make Vinita understand properly",,,,"No, he is a young kid, he will improve once he grows up.","No, she has the righ to go out. Brother should be told she can go out for the programme at night.","No, Madhuri should work and should take responsibility of expenses. They can save money in bank. It's both their jobs.",,,
177,T0,,,,"No., because Ganesh should convince his friends to not to tease the girls which is incorrect.",,,"
Yes.,because Nisha is earning good as campare to Mahesh thats why mahesh telling her to leave the job. 
J8
","No.,because Shrut and Navnath they both should equally do the household chores.",Priyanka & Ramesh (Priyanka wants to start her buisiness as a hair dresser),
178,T3,,,,,,"No.,because Nishas parents or brother should go with her to attend the school programme.",,,,
179,T0,,,"No.,it is incorrect since she wants to become fashion designer so she must wear western clothes.","No,Ganesh should inform  their parents about their behavior . ","It is right, chetu is 10 year old if he he continue doing this he will be habbituated to all these. ",if it is unsafe to go alone then her brother should go with her .,,,,"No,Ninas brother should take one day off from cricket  and handle the kid."
180,T2,,"Yes.,because husband must control his anger and should not beat his wife .",,"No.,Ganesh must complaint about his freinds.",,"No.,her parents should allow her to attent school programme.",,,,Everyone has free right to live their life.
181,T2,"No.,convience her.",,,"No.,ganesh should understand his freinds.",,,,,,
182,T2,,,,,,,,,,
183,T2,,"No.,Samirs mom is right they both should understand Samirs father.",,,"Yes.,because if Chetu contineus this behaviour it will be there even he will grown up and his freinds will tease him.",,,"No,because mother should send both to the school.","No,he should allow her to work.",
184,T0,,,"No,she has right to wear any western clothes.","No,ganesh should inform police about it .",,,,"No,Shruti is not getting her right.",,"No,father  should send her to picnic."
185,T3,"No,Ramesh should not beat his wife and one or twice covince her. ","Yes,Samirs father should not beat his wife so much.",,,,,,"No,Navnath should do housework ,  Shruti  can also do it after coming back from school. ",,
186,T0,"No,Ramesh should convince his wife and not beat her.",Yes because his father is very harsh to Samirs mom.,,"No,because Ganesh should take someones help in this case.",,"No, his sister should go because its anual programme in the school..",,"No,because Navnath should work at home, shruti can do it after coming back from school.","No,because Ramesh should allow his wife to work.","No,girls also have right to go for picnic."
187,T0,"No,because its been 10 years to their marriage still she is in love with anather man.","Yes,Samir is right because if his  mother goes to the village then the  father would not able to beat Samirs mother.","No,because if Poonam likes to wear western clothes so she will wear.","No,because whatever Ganesh is doing is correct, so he should inform to his teachers .",,"No,because girls  should also  get their rights.",,,,
188,T2,"No,Ramesh should not beat his wife because it might not be an affair it can also be brother and sister relationship.",,"No,if we convince our children with love they will understand otherwise they will not listen.","No,boys should also have their rights.","No,all young children  has right to play .",,,,,Nina should go to picnic.
189,T3,"No,because Ramesh must understand his wife and explain her.","No,if there is love, then the husband should beat his wife.",,,"No,because now he is young he will be mature when he will grown up.",,,,,
190,T0,,"Yes, because husband beat  wife and also love .",,,,"No,because then  brother should go with her for  school programme.",,"Yes,because one day mother must rest and Shruti should do household work.",,
191,T2,,"Yes, if wife will go away, then husband will understand her value . ",,,,," No,mahesh will also get good salary so Nisha should also work.",,,
192,T1,,,I disagree because she didint get her freedom of fashion,I disagree He should explain to his friends that they should not do this,I disagree beacuse he didnt get human right,I disagree Nisha wants to go for programme and she also want to enjoy with her friends ,I disagree with Mahesh because Nisha wants to work outside.,I disagree with mother because she should divide the same work between shruti and navnath,I disagree with mahendra because kamal didnt get her freedom of work selection and also didnt get freedom of living,I disagree with father because the picnic is only once in year and his brother can play cricket any time
193,T1,I disagree with Mahesh .Ramesh should explain to her,I disagree with Prathmesh.Prathmesh should explain to his father,,I disagree He should explain to his friends ,,I disagree with her family because her broghter would have gone,I disagree with Mahesh because they can start their own business.,,,
194,T1,,"I agree with Prathmesh beacuse after coming from work they were tired, so because of thy beatup",I disagree because whatever she can do,I disagree rohit should tells friends parents,,,I disagree with mahesh they can work together,,,
195,T1,,I disagree with Prathmesh.Father should be made to understand that family should remain inact,,Teasesing girls is against of low ganesh have to explain to his friends,,I disagree with her family she Nisha has the right to move freeely.,,,because woman also has the right to do business and also work. she should have the right.and mahendra have to supprot her and encourage her,
196,T1,I disagree with Mahesh.He should not do Violence,Prathamesh should make father understand,,,,I disagree with her family.Her brother also can protect her,,I diagree with her mother .Neha also need to do study.,Because she she also have to do work she can help to Mahendra,
197,T1,She should have an affaire.she have right.,,Poonam can wear clothes of her choice,They should stop from harassing girls,If he likes to play then there is no problem to play,Police complaint should be made for Haressment,,I diagree with her mother Both should work.,She has right the she should also work,
198,T1,,,,He should tell them that no one should tease girls,,Her mother father should go with her,,,Both of them should work,
199,T1,,,,He should not remain silent. If hus friends haress the girls  he should complain to the teacher,,,,,,daughter should be allowed to go for trip its ok brother take care of the baby for one day
200,T1,,,,It is better than not to have friend,,,,,Women should get equal right,
201,T1,,Because prathmesh father hit  his mother everyday in my opnion prathmesh father is harassing thats why prathesh is asking mother to go village ,I disagree with because anyone can do what they like,,,she has right to go out,,Mother should give work to akshay as well,other opinion must be considerd,I diagree with her father because her elder brother can take care of baby child
202,T1,,Because prathmesh father hit  his mother everyday in my opnion prathmesh father is harassing thats why prathesh is asking mother to go village ,I disagree with because anyone can do what they like,I disagree with rohit .Rohit should explain to his friends,I disagree with his parents because he should play with his sister,,I disagree with Amir because every one should live freely,I disgree with her mother because everyone should be live freely.,I disagree with Mahndra because everyone should do by their choice,
203,T1,,,,,,,I disagree with Amir because his wife thinks if both work together they will earn more .,,,
204,T1,,,I disagree with Prathmesh because in a family alot of things happen . we need to find solutions to it .going to village or running away is not  the solution,,,,I disagree because she should earn for the house to fullfill need of family,I disagree with Mother because neha & Akshay's Mother is one they both should help her.,I diagree with Mahendra because like mahendra even Kamal has right to work she should do household work as well ,
205,T1,,I disagree with Prathamesh because father should be made understand he will realise.,,I disagree with Rohit because he should give his friends a dressing down,,I disagree with her family because locking up the girl is not the solution,I disagree because Amir should let her work,I disagree with her parents because neha has to right to education,I diagree with Mahendra because Kamal has to ight to business as per her wish.,I disagree with Manisha's parents because Manisha has right to go out
206,T1,I disagree with because he should not hit her because she having an affair,,,I disagree with Rohit.Rohit should not tease girls but repect them,I dissagree with his family because he should to allowed to do what he want,I agree with her family because if she go out at night boys will tease her,,I diagree with her family because her brother should not shout on Neha,I disagree with Mahendra because she should to allowed to be hairdreser,I disagree with her father because she should be permitted to for picnic
207,T1,I disagree because Mahesh should explain Violence is not a solution,I disagree with Pramesh because instead of going to the village prathmesh should make his father understand,,I disagree with Rohit .Rohit should explain to them what if it where their sister,I dissagree with his family because Akash is young he wont play once he grows up,I disagree with her family Nirmala does hve protection at home .she does not safe outside.so she should go.,I disagree with Amir because Rutuja should be allowed to work both their income required,,,I disagree with Manisha's father Manisha should be allowed go for trip.her brother can take care of the baby.
208,T1,,,,I disagree with Rohit because This kind of friends are useless.he should make them understand or break up with them.,,I disagree with her family because Mother or brother should company and not locked her in the house.,,,I disagree with Mahendra .Mhendra should let her work she will work as well as take care of house.,
209,T1,,,,I disagree with rohit .rohit should complain to the teachers.,,I disagree with her family because if she permitted to go outside thats ok but todays boys aslo behave not good,,I disagree with Her mother boys should also do household chores the make differance in boys work a bit anyway girls work everyday.,,I disagree with her father because if there is a picnic the boys will go for it right?and for one day he can take care of the baby and do not play criket 
210,T1,,,,I disagree with Rohit because he should tell his friends that they should behave like good boys otherwise he wont stay with them,,I disagree with her family because brother or mother should company her,,,,I disagree with Manishas father because her brother plays criket everyday .for one day instead of playing criket he can take care of the baby.
211,T1,I disagree because this is wrong priyanka does not desrve the beating,,,I disagree because he should complain about them and also make them understand ,,I disagree with her mother because mother should allow her to go with her brother so that no one haress her,,,,I disagree with her father because she should be allowed to go for picnic.brother can take care of the baby one day
212,T1,,I disagree with Prathmesh.he should make his father understood and not take mother to village. ,,,,,,,,I disagree with father because the picnic is only once in year and his brother can play cricket any time
213,T1,I disagree with Mahesh insted of beating he should make her understand,I agree with prathamesh because he cant see his mother in pain,,I disagree with rohit because he should explain to his friends .,,I disagree with her family she should go to College,I disagree with Mahesh because both can earn and they will stay happy,I disagree with her mother because both should be equal work ,,I disagree with her father because she should be allowed to go for picnic
214,T1,,,I disagree because she can wear any clothes,I disagree because he should stop it,,,I disagree with Mahesh because she should work,I disagree because both should be need to study,I disagree with mahendra because she should also work,
215,T1,I disagree because priyanka should not behave like this and mahesh should also not hit her,,I disagree because she has right to wear clothes,I disagree with rohit because he should explain to his friends .also ask to them if they tease their sister,I disagree because he should be allowed to play because he is young,,,,I disagree with mahendra because she has freedom to chose her business,
216,T1,,,,I disagree with rohit because he can explain to  them.,,I disagree with her family because her brother can go with her,,,,
217,T1,I disagree with Mahesh because he should explain to Priyanka,I agree with prathamesh because he has to explain to his father,,I disagree with rohit because he should explain to his friends.,,I disagree with her family because her brother can go with her.both should go together.,,,I disagree with mahendra because if both work equal and together it will benifited to their child.,
218,T1,,,,I disagree with rohit because he should complaint to the police.,,I disagree with her parents because Niramala's Mother and brother prevented her from going to the programme.,,I disagree because Neha has right education.,,
219,T1,I disagree with mahesh because she is having an affair with another person and mahesh gets angry with her .,,I agree because she is not wearing decent dreses. The  neighbours told her not wear such a dreses.,I agree with rohit because rohit told them not  to stalk.,I agree with his parents because he should play with boys.,I disagree with her mmother because her mother is not giving permission for social programme.,I disagree with Amir because she earn more money than Amir.,,,I disagree with her father because her trip going to somewhere.
220,T1,I disagree with mahesh because he should explain to her ,,,,,,I disagree with Amir because she has right to do job.what happened as she got promoted? both are bringing the money.,I disagree with her family.because she will do household chores.but give her time to do study.,I disagree with Mahendrea because Kamal should start her own business.,I disagree with her father because she should get permission to go outside.
221,T1,.,,,I disagree with rohit because rohit should stop his friend from teasing the girls.,,I disagree with her mother because Nirmala also have right to life.,I disagree with Amir because Rutuja has to right to do job.,,I disagree with Mahendrea because Kamal has right to star her business.,
222,T1,I disagree with mahesh because he should explain to her ,,I disagree because its her choice ,I disagree with rohit because rohit 's friends are not right.,I disagree with his parents because he cant change.,I disagree with her mother because she cant get any opportunity to go outside.,I disagree with Amir because she should do job.,I disagree with her family because nehas mother can equally distribute the house hold chores.,"I disagree with Mahendra because ,she do household chores with her job.",I disagree with her father because once in a year she will have trip.let her be allowed.
223,T1,I disagree with mahesh because he should explain/understand to her ,,,I disagree with rohit because rohit 's should explain to the friends that you do not tease the girls.,I disagree with his parents because he is to small. he will stop after grow up,I disagree with her mother because Nirmala has right to move.,,,,
224,T1,,I agree with prthamesh when the prathmesh's mother went to village.then prathmesh's father will  be aware of his mistake.,,I disagree with rohit because rohit should tell to their parents.so then they teach the boys  carefully.,,"I disagree with her mother because Nirmala has to go that social programme.so,she can can learn lots of thing.",I disagree with Amir because Amir should send her for job.,,I disagree with Mahendra because mahendra should give permission to her so women can get dignity.,
225,T1,Priyanka cheated there is no need to beat her but explain to her .,,I disagree because there is no fault of Vrushali.,I disagree with rohit because rohit does not like to touch girls .Rohit should not keep quite.,,,I disagree with Amir because both have right to do job.,,,I disagree with her father becauseshe has right to go for trip.
226,T1,I disagree with mahesh because he should explain/understand to her ,,,I disagree with rohit because they should not tease girls. Rrohit should explain to their friends.,I disagree with his parents because he is to small. he plays seeing sister.,,I disagree with Amir because they both do the job and get more benifits.,,I disagree with Mahendra because they have also right to life.,I disagree with her father because She also right to live life.
227,T1,I disagree with mahesh because he should explain/understand to her ,,I disagree because every one has right to wear what they like.,I disagree with rohit because he has to explain them.,,I disagree with her mother because Everyone has right to move.goto any programme.,I disagree with Amir because both have right to do job.,I disagree with her family because Men and Wemen have right to education.,,I disagree with her father because she has right to move.
228,T1,,,,I disagree with rohit because his friends tease  girls. He should not keep quite.,,I disagree with her mother because girls have right to move anywhere.,I agree with Amir because she has job.She earn money.,,,I disagree with her father because she has right to move.
229,T1,I disagree with mahesh because Insted of beating her should expleain and convince her.,,,I disagree with rohit because rohit should explain them.,,,I disagree with Amir because Rutuja wants take to responsibility of house,I disagree with her family because give them equal work.,,I disagree with her father because for a day her brother can take care of baby.
230,T1,I disagree because insted of beating her he should ask her why she had an affair ,,,I disagree because he shoukd not be silent. He should make a complaint to his teacher telling him that his frineds are teasing the girls ,,,,,I disagree with because she also right to live what she like,
231,T3,,If his mother is feeling harassed instead of going to the village she should talk with her husband and try to change his mindset,,,,,,,,
232,T3,,,,,,,,,,
233,T3,,,"No, it's her choice, she is going to learn more about fashion in future.","No, he should explain to his friends so that they will not do it again",,"No, if she is brave she will protect her self by her own","No, if she is earning more than him then she should not leave her job",,"No, if she wants to start new business then she should do it, I think she can manage both home and business.",Her brother should take leave and look after the baby so that she can go to the trip.
234,T3,"No, because they should inquire about her before marriage.",,,,,"No, because he can accompany her to protect her",,,,
235,T3,"No, because she was not able to tell her husband about her love ","No, because after all he is his father","No, it's today's fashion","No, he should explain more to his friends that because of such teasing girls get harassed",,,,,,
236,T3,"No, should explain reasons behind it",,,"Yes, he should explain his friends","No, because children can play with anything",,,,"No, she should work",
237,T3,,,,,"No, because he is very young, he might stopped playing with dolls when he becomes elder",,,,,
238,T3,,"Yes, becaues his father hits and harass his mother",,"No, he should explain his friends ",,No,,,,
239,T3,"No, he should explain to her",,,"No, he should explain his friends that teasing girls is very bad thing ",,"No, because her mother or brother can go with her","No, she should explain her husband that both husband & wife needs to work so that they earn more and save more money.",,,"No, because her elder brother can help her in looking after the baby with the help of his father"
240,T3,,"Yes, becuase his mother loves his father so much and he also loves her so much, so they will sort it out between them",,,,,"No, She has more salary and he is earning less than her, so feels less and so he asked her to leave her job",,,
241,T3,"No, because instead of hitting her he should try to understand her and try to explain to her",,,,,,,,,
242,T3,"No, Ramesh should explain to vinita",,,,,"No, instead of sending her alone her brother should accompany her",,,,
243,T3,,,,,,"No, because women has all rights",,,,
244,T3,"No, because he beats pranita after drinking alcohol",,,"No, because boys shouldn't do such things, they should understand this",,,,,,
245,T3,"No, if i was there I will explain my wife that we are married now so don't do such things",,,I will tell Ganesh to not stare at girls,,Because she has to attend this programme as it is organised by her college,,,"No, because she started beauty parlour business","No, let Nina to go to the school trip and ask her brother to look after the baby"
246,T3,,,,"No, because ganesh should explain to his friends that they shouldn't touch girls",,,,"No, because their mother should distribute house chores between both of them so that they will finish chores soon","No, because she has right to job or business of her choice and she should work.","No. because Nina has right to go outside, so her brother should look after their baby brother and doesn't go to play cricket"
247,T3,"Yes, He should not hit her and try to explain her ","Yes, samir should try to explain to his father to leave his job",,"Yes, he should explain to his friends that do not tease girls as they are like our sisters.  Otherwise make a police complaint",,,,,,
248,T3,,"No, Samir should talk and explain to his father not to insult his mother",,,,"No, her brother also go with her for this social programme",,,,
249,T3,,,,"No, nobody should tease or harass others like this",,,"No, he should let her do job","Yes, she should help her mother and family ",,"No, parenst should allow Nina to go for trip, girls also get some fun"
250,T3,,,,"No, because if such harassment keep happening on regular basis it will become hard for girls to travel via bus",,,"No, because she is earning more than him he asked her to stop her work and look after the family.",,,They should allow her to go to the trip.
251,T3,,,,,,,,,,"No, because girls has right to go outside"
252,T3,,"Yes, because what Samir is saying is correct, he can't tolerate the violence against his mother done by his father",,,,,"No, because if they both work and earn money then they will earn more money",,,They should allow her to go to the trip.
253,T3,"No, I am not agree with the violence here, because if he knows about his wife's affair with neighbor he should not have married her",,,,,"No, her brother should go with her to protect her","No, because Nisha likes to work",,No because she likes beauty parlour business,
254,T3,,"No, need to tell Samir father not to behave like this","No, she likes to wear such clothes, it's her hobby","No, he should explain to his friends",,,,,No,
255,T3,"No, because her husband's love is not enough for her",,,,No,No,"No, because women are no less than men",No,No,No
256,T3,"No, she doesn't get her rights and the love she deserves",,No,"No, because girls do not like it (behaviour of boys)",,,,,,
257,T3,"No, because there might be some fault into Ramesh and he should work on that instead of beating his wife Prantia",,,,,,,,,
258,T3,,,,,,,,,,"No, because her parents decision makes her sad"
259,T3,"No, they both should try to understand each other and Pranita has human rights too","No, because they both have to communicate with each other ",,,,,,,,
