"Explanation is related to equality  (Example: Both should do housework, both should work) and prevention of violence and discrimination but not complete or coherent ",,,,,,,,,,,
"Through the explantion the participant acknowledges that a social norm exists but does not challenge the social/gender norms (Example: Boys can look after the child, boys should be given household work)",,,,,,,,,,,
Explanation uses the rights language (Example: right to life) but it is not related the scenario ,,,,,,,,,,,
The participant provides an a action oriented explanation for stopping violence but does not answer the 'why' for stopping violence (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
144,T2,,,,,,,,,,
145,T0,,,,,,,,,,
146,T1,,,"No, because Poonam can wear whatever cloths she wants to wear. When boys are teaseing her, they should change their thoughts.",,,"No, because girls should also have right to roam outside house, and they should be bold.",,"No, because it is responsibility of both. Boys should too do household chores.","No, because both have the responsibility of household chores. But Ramesh is not letting her go out, but both should go out to so work.",
147,T2,,,,,,,,,,
148,T0,,,,,,"No, if Nisha's mother- father or brother would have gone with her, she could have been protected, but her parents listened to her brother and did not let her go. ",,,,
149,T1,,,,,"No. Chetu's parents are trying to give different treatment to Chetu and his sister. They think whatever work Chetu is doing is girl's work, they are not treating them equally. I am not agree with their behaviour.","No, because there are other several ways to protect Nisha. Nisha's brother and mother could also go with her, which is wrong.","No, because it is responsibility of both to take care of household. Mahesh feels insulted and he said that it is responsibility of only man to fullfill the needs to household, then it is wrong.",,,
150,T2,,,,,"No, because Vishal has right to play freely, but his parents are trying to restrict his playing which it wrong. He can play whatever he want, therefore I don't agree with parents.",,,"No, because if Arun wants to study, then her mother should let both study, or else she should devide the work amongst them","No, I am not agree because Arun can also look after home, and Sarika should go to work.","No, because Seema's brother can also help, but their father only told Seema to help, which is wrong."
151,T0,,,,,,,,,,
152,T1,,,,,,"No, Nisha has the right to go where she wants. Nisha's brother can go everyday to leave her at the programme and come back","No, because Mahesh should feel happy that his wife is getting an increment based on her hard work. There is discrimination here between man and woman",,"No, she has the right to study and work as per her liking","No, because Neena has the right to go where she wants according to her liking and there is discrimination between the girl and boy"
153,T2,,,,,,,"No, both men and women have the right to act according to their will. Instead of being upset and thinking less of himself, he should feel happy and encouraged.",,,"No,she has the right to act according to her will. Elder brother should be given the task of taking care of younger brother and she should be allowed to go for picnic."
154,T0,,,,,,,,,,
155,T1,,,,,,,"No, both should continue their work. The man too can learn from his wife, this will benefit them both","No, boys and girls are equal and they should get equal justice","No, they should both work, this will not be a barrier in their family life. ",
156,T2,,,"No, like boys, Gauri can wear the clothes she likes. It's not  her fault.",,,"No, Priya has the right to go to the programme. She herself can ensure her safety.",,,,
157,T0,,,,,,,,"No, Shruti should be able to go to school",,
158,T1,,,"No, Poonam should not be teased",,,,"No, they should both go to work","No, Navnath should also work and do household chores","No, Ramesh should also do household chores and manage the house","No, the older brother should take care of the younger brother"
159,T2,,,"No, Gauri can wear what she wants. Those who whistle at her are wrong.",,,,"No, Anil is wrong. House belongs to both of them and so does the work and also the shop.","No, mother should tell both Roshni and Arun to work",,
160,T0,,,,,,,,,,
161,T1,,"No, beacuse you should not beat women or disrespect them",,,,,"No, because both should work",,,"No, because girls aren't allowed to go out"
162,T2,,"Yes, men do not have the right to inflict violence on women",,,,,"No, Madhuri should work. If house belongs to both then work should also belong to both.",,,
163,T0,,,,,,,,,,
164,T1,,,,,,,,,,
165,T2,,,,,,,,"No, both of them should work and study",,
166,T0,,,,,,,,,,
167,T1,,,,"No, Ganesh should tell his friends not to eve tease girls and also tell his parents about it","No, playing with his sisters, playing with dolls, doing up their hair, is Chetu's right","No, Nisha has the right to go outside","Yes, both should work.",,,
168,T2,,,"No, even she has desires. She has rights.",,,,,"No, mother should give work to both. Both can take care of household work. The girl should also be asked to study after work.","No, Sarika has the right. She should behave as per her wish.",
169,T0,,,,,,,,,,
170,T1,,,,,,,,,,
171,T2,,,,,,,,,"No, Arun should also do household work. Sarika should do both household chores and work. Child rearing is reponsibilty of both",
172,T1,,,,,"No, it is up to Chetu what he wants to play, he should be able to play with what he likes","No, she can go wherever she likes and if the brother is concerned then he himself should go to leave her","No, everyone is equal. Both should work and do house work. They will both then also get a higher income together.",,"No, Priyanka should work and both of them should look after the house",
173,T2,"No, even if Vinita has erred it is wrong to beat her",,"No, she has the right to wear clothes of her choice. It's not her fault.","No, Shoaib should understand that harassing girls is a crime. He should complain to the police.",,"No, she has the right to go out. She is capable of taking care of herself. ","No, Anil should let her work. If house belongs to both then the work also belongs to both.","No, mother should tell Arun as well to work. Even she has the right to education.","No, Sarika should make him understand and she should work. They both should take care of house.",
174,T1,,,,,,,,,,
175,T2,,,,,,,,"No, she should also go to school. Both should be asked to do household work.",,
176,T2,,,"No, she has the right to act according to her will and wear clothes of her choice. To stop her from doing that is wrong of us.",,,,,,,"No, brother can take care of younger brother. He is allowed to go out beacause he is a boy. Seema should also be allowed to go for picnic."
177,T0,,,,,,,,,,Nina (Nina is going to Mahalbleshwar for picnic. Brother playing cricket. Childcare responsibility)
178,T3,,"Yes., because his mother not  getting her own  rights ,its like of exploitation for her .",,"No.,because whatever his freinds   doing is wrong they should not tease the girls.",,,Both should work together and save money for their kids and future.,,"No.,because Priyanka should work and convince her husband for that ,he will be covinced.","No.,because men should also work ,Ninas father is wrong."
179,T0,,,,,,,Both should work together and save money for their kids and future.,,,
180,T2,,,"No.,because she has right to live life her own way.",,"No.,everyone has right to live their life.",,Nisha should work because everyone has right to live their life.,"No.,because everyone should equelly work.","No.,because everyone has right to live.",
181,T2,,,,,"No.,now he is young after growing he will be mature.",,,"No.,one must distribute equel houshold work among them.",,"No.,they both have equel right ."
182,T2,,,,Ganesh shoud leave their company or else try to convince them .,,"No.,Nisha should show courage to go out,if she will not go out now then when will she go.",,"No.,there should not be any discrimination ,they both should work.",,"No.,the picnic is once in year so her father shoud send her to  picnic."
183,T2,,,"No.,because thats her choice ,she should inform the police about  it.","No,because he should convince them to keep quite otherwise they will trouble more.",,"No.,because brother should allow her and if there is any issue then he should inform to police.","Yes.,because both should equely work and earn.",,,"No,because father should send her to the picnic."
184,T0,,,,,,,,,,
185,T3,,,"No, because Poonam has right  to wear any fassionable clothes.","No,because Ganesh freinds are wrong , he should inform his teacher about them.",,"No,because she has right to freedom.",,,"No,because she has right to work .","No,because girls also have right to go out for picnic like boys."
186,T0,,,"No,i think she is right because if she likes it so she should wear western clothes.",,,,,,,
187,T0,,,,,,,"No,because Mahesh is wrong women should also have their rights.",,,"No,because not playing cricket once is not  like stop playing it forever.Nina should go for picnic."
188,T2,,,,,,"No,then someone should go with her to attend the school programme.",,,"No,Priyanka must start her own buisness.",
189,T3,,,"No,because it is her choice to wear any clothes.","No,Ganesh should take elders help in this case  and convince his friends.",,"No,if brother really cares about his sister then he should go with her to attend school programme.","No,it is her right to work ,if they both work together then to handle house would be more easier.",,,"No,cricket will not stop forever if he will not play one day and brother can handle kid for one day. "
190,T0,,,,"Yes,because Ganesh should convince his freinds that not to tease girls. ",,,"No,because Nisha also have right to work.",,,"No,because brother should handle  kids and take off from cricket one day . father should allow his doughter  for picnic."
191,T2,,,"No,the boys who teasing her are wrong ,they should value women.","No,Ganesh should inform their parents aboout it  and try to convince them.","No,he is very to young to understand  the  diffrences between man and women.","No,it is wrong now a days women also have right to go out.",,"No,because men and women should get equel rights.","No,Priyanka can also earn and she can help her husband .","No,if she wants to go for  picnic then she should go,such picnics are socially benefitial."
192,T1,I disagree he can make her understand she is not getting human right,Yes I agree because prathmeshs mother has to suffer in this ,,,,,,,,
193,T1,,,,,,,I disagree with Mahendra because if both do household chores it would helpful for them,I disagree with his mother beacuse both are equal .both have right to education both should do house hold chores,,I disagree with her father because her brother can take care of babychild and she can go for trip
194,T1,,,,,,,,I disagree with his mother beacuse give them equal work and Education,,I disagree with her father because her elder brother can take care of baby brother
195,T1,I disagree instated of violence final decision should be take,,,,He is a small boy and he have right to play .,,I disagree with Amir.insted of oppose her he have to suport and congratulate for her pramotion,As per gender equality both should do house hold chores,,I disagree with manish's father Manisha must to explain her father that only girls can do house work or take care of baby but boy can also do
196,T1,,,I disagree with because boys attitude which is wrong,Ganesh should not remain quiet because his friends are doing wrong .,,,,Both should be given equal work,,If her Brother diside then he can take care of baby.
197,T1,,,,,,,,,,Manisha should also play even she has a life like her brother
198,T1,,,,,,,,Both should be given equal work,,Brother can take care of baby
199,T1,,,,,,,it is wrong so what wife earns more amir behaviour is wrong,,I dont agree mahendra and kamalshould work together of they stay together,
200,T1,,,"This is 21st century if she do not wear it now,when will you wear? after being old?",,His age paly now after job should he play?,this is the rite time to show courge if it is not now when it will,Seeing her progress this its not good to tell her to left the job,Distribute work equally do not discriminate,,
201,T1,Mahesh dose not have right to hit priyanka,,Vrushali has right to indulge in fashion she should tell there boys family,,,,Both man and women can work to take care of house,,,
202,T1,,I disagree with Prathmesh because they should understand why father is getting angry. But Prathmesh's father also should not beat up his mother,,,,,,,,
203,T1,,,,I disagree with Rohit because he thinks girls should not be harassted thats why rohit stop them,I disagree with Akash's parents because if children would not play with dolls then who will play ,,,,,
204,T1,I disagree because if we like some one then whats wrong in it.,,,"I disagree with Rohit because ,Rohit should not remain silent if he remains silent it will be like aiding his friends",,I disagree with her family because girls should get respect like boys they themselves can take care of them,,,,I dis agree with Manisha's father because even boys should work at home .girls to have right to go out
205,T1,I disagree because Priyanka should be make to undrestand and even she should be understood ,,I disagree because societys mentality need to be change,,I disagree with his parents because every one in the childhood plays with the such a toys they not need to worry,,i disagree with Amir because both should work & both can earn,,,
206,T1,,,,,,,   ,,,
207,T1,,,I disagree because Vrushali should wear what she wants people should chang there thinking,,,,,I disagree with Her mother because Neha and Akshay should be given equal work neha should asked study as well,,
208,T1,,I agree with Prathmesh because Prathmesh father insulting beating his mother. she should not bear insult,I disagree because she should not live in fear she should talk her family and complaint to the police,,I disagree with his parents because it is own choice .his parents should understand him.,,I disagree with Amir because Rujuta can also work and fullfill family responsibility.,,,i disagree with Her family because her elder brother can also take care of baby.
209,T1,,I agree with prathmesh because there is no need to remove work frustation on wife.,,,,,I disagree with Amir anyone in family works the mony will come to family and it will the good he should hut the shop,,I disagree with Ramesh because if she wants to work she should be allowed to work so what if she is married,
210,T1,,,I disagree because she wants to learn about the fashion in future thats the dream.boys are there only to tease girls its not her fault.,,,,I disagree with Amir because women can also earn enough for family,I disagree with Her parents because girl should also be able to study brother should also the given house hold chores.,,
211,T1,,,,,,,,,,
212,T1,,,,I disagree.  Rohit  should explain his friends .,,I disagree with her family because she have right to live her own life and if her brother wants to protected her he should go with her for programme,I disagree with Amir because if both work together they can earn much more .they can manage very well ,I disagree with her Mother both should dived same work and take care of mother and mother should be give same work to them,,
213,T1,,,I disagree because it is boys mistake because of their thinking,,,,,,I disagree with Mahendra because both should work together,
214,T1,,Mother should not be beaten,,,,,,,,I disagree with her father because brother can take care of baby
215,T1,,,,,,I agree because she is unsafe at night so she should go with her brother,,I disagree because neha should also the allowed to go to school.Mother should tell both of them work,,I disagreewith her father because manisha should the allowed to go for picnic father should take care of baby
216,T1,I disagree with Mahesh because she can behave according to her wish,,I disagree because this is boy's problem`she can wear what she like,,"I disagree with his parents because just playing with doll,he will not become girl.",,,I disagree because both should get equal right.,I disagree with Mahendra because there is nothing like household chores should done by women and out side work by men.,
217,T1,,,I disagree because this is her choice.so she wear cloths of this kind. ,,,,I disagree with Amir because they both earn money and start their own business.,,,I disagree with her father because brother can take care of baby and she can go for trip.
218,T1,,I agree with Prathmesh because prathamesh's father has been beat up his mother .so i agree with prathamesh.,,,I disagree with His parents.because if he loves do that and if he is like transgender so its good.,,I disagree with Amir because Amir's wife didnt get opportunity to do job.,,I disagree with mahesh because keep in her at house is not good .she should behave what she likes.,I disagree with her father because Manisha has been denied from her right to rooming around .her father stopped her.
219,T1,,,,,,,,I disagree with her mother because akshay should do household chores. his mother unwell this moment. so along woth his study he should do household chores.,,
220,T1,,I agree with Prathamesh because prathmesh;s father insulted to her mother on everyday this is totatly wrong.her mother should go to village and stay their.,,I disagree.  Rohit should explain to his friends.otherwise give up your friends.,,I disagree with her family because let her go out side she also right to life.,,,,
221,T1,,I agree with Prathamesh because prathmesh;s father do not beat up his mother.,,,I disagree with his parents because akshay should play with dolls.his parent creating dissatisfation on him.,,,I disagree with her family because neha has a right to education she does love study.,,I disagree with Manisha's father because Manisha's brother can handle this younger brother rather than playing criket
222,T1,,,,,,,,,,
223,T1,,,I disagree because she has right wear dresses,,,,I disagree with Amir because noew days women are to ahed of men,I disagree with her family becausegive them equal opportunity to work and education too.,I disagree with Ramesh because she has right to start her own business.,I disagree with Manisha's father because Manisha's father discriminate on the basis of girls and boys
224,T1,I disagree with Mahesh because mahesh should ask to priyanka no need to beat her.,,I disagree because she is not wrong she wanted learn about fashion.,,I disagree with his parents because this is wrong .aakash only 6 years old.he is very exited about new things.,,,I disagree with her family because girls should get educated.,,I disagree with Manisha's father because Manisha has elder brothe.he can take care of baby brother.
225,T1,,,,,,"I disagree with her family. because, every one have right move, Nirmala too.staying at house is not solution.",,I disagree with her family  Because both have right to education .distribute the household chorse among them.,I disagree with Mahendra Kamala has right to work.,
226,T1,,,"I disagree because everyone have their choice , right to wear what they like.",,,"I disagree with her family. because, he should give courge to her.",,I disagree with her family because girl and boys behave equally.,,
227,T1,,,,,I disagree with his parents becauseEveryone should play by their choice.,,,,,
228,T1,,I agree with Prathamesh because his father beatup and insulted to his father.so I agree with prathmesh.,I disagree because she has right to wear what she like.she is not guilty.,,,,,"I disagree with her family because if they are boy or girl,they have equal right to education.",,
229,T1,,I agree with Prathamesh because Prathamesh sees his mother in a lot of trouble.so prathamesh was right.,I disagree because in this case she is not guilty.,,I disagree with his parents because  give them freedom as per their like.,I disagree with her family because nirmala can protect her self.,,,"I disagree with Mahendra because she can do work,she loves her job.",
230,T1,,,She also right to wear what she like,,I disagree with his parents because  he is too small. he should allowed to play,,I disagree with Amir because women can also do the job Amir is wrong,Neha also right to education which she is being denied.,,
231,T3,,,, because boys should not tease and harasss girls and if shoaib is telling them good things they should listen to him,,,,,"No, because she should do job if she wishes to. ","No, because her brother can play cricket any time but she might not get another opportunity to go on a picnic / trip. so her brother should look after the baby for a day. "
232,T3,"No, because she has the right to 'Love' a person of her choice but she is married already, but still she loves another person which is a emotional thing for her. So instead of beating / hitting her Suresh should try to talk and explain her.","Yes, because his father beats her mother and it's wrong, they hit her without any reasons.","No, because it's not her fault. She has right to wear clothes of her choice.","No, he should not have such friends, he can make new friends anytime, so without thinking about such friends he should protest them.",,,"No, because he is depriving her from her rights",,"No, if she gets education for for it she can do it",
233,T3,,,,,"No, because the dolls are of his sisters, if he likes to play with dolls he can play with it and noboday can stop him.",,,"No, there is no problem if boys do some house chores and boys should do house chores.",,
234,T3,,"Yes, so that his mother will stay safe & secure","No, because that boys should change their behavior","Yes, he should explain this thing to that boys",,,"No, he is jealous of her","No, because both of them have equal rights",,"No, they both have equal rights."
235,T3,,,,,"No, he should do whatever he likes to do, he is still very young",,"No, in today's world both boys and girls have equal rights.","No, they also have equal rights","No, she does beauty parlour coures so she should work and there is nothing wroong into it.","She has right to go outside, so decision of her father is wrong. "
236,T3,,,,,,,Both husband and wife should work and earn to run the home properly,"No, because everybody should help in house chores",,"No, because everybody should get equal rights"
237,T3,,,"No, she will wear anything, its her choice",,,"No, she has right to go anywhere ","No, instead they both should work and help in running home","No, equal rights should be given to them","No, she likes to do it.","No, they should look after their baby"
238,T3,,,"No, she likes it",,,,"No, she loves to work","No, he should also look after his mother","No, she likes to do it.","No, her brother too can look after the baby."
239,T3,,,"No, because she also has right to wear clothes of her choice and the boys who teased her by whistling are at fault, she should approach police and her neighbors should explain that boys how they are doing wrong things",,,,,"No, because if they both do house chore it will finish soon and then they both can eat and study","No, she should explain her husband and should do house chores together, and send her outside to do a job.",
240,T3,"No, because women also has the right to love, to love anybody they want, but as she was a married she should have not done it",,"No, she has right to do fashion and wear clothes of her choice. It's boys mistake that they tease her.","No, with the help of adults he should try to explanin his friends.",,"No, if her brother cares so much about her, he should accompany her while going outside",,"No, her brother too can help her by staying at home and looking after the sister, his mother should ask him instead of her to stay at home",,"No, her father and brother can look after the baby, because he can play cricket later but trip was organised once a year"
241,T3,,"No, because his father got tired after work so he beats samir's mother. So samir should try to explain his father not to hit his mother","No, because poonam has right to fashion as she wants and she should not tolerate the harassment and complaint against it.",No because Ganesh should explain his friends on regular basis that harassing girls is not allowed into our society,,No asking Nisha to seat at home is not the right way to protect her,,"No, because looking after their mother and sisters is both shruti and navnath's responsibility",,"No, because Nina has right to go on trip to mahabaleshwar and her brother can look after the baby"
242,T3,,"No, because Samir should first talk with father and ask him why he is insulting his (samir's) mother and try to explain him not to do so","No, because Poonam also has all rights like others and need to explain to boys who are teasing her that do not tease her","No, because ganesh should not get sad and he should try to explain his friends ","No, because chetu is just 10 years old, he doesn't understand much, he might understand it after 2-3 years",,,,,
243,T3,"No, Ramesh should try to understand Pranita and try to explain her because women has all rights and Ramesh should not feel insulted due to this",,,"No, nobody should tease anybody. Women doesn't like when unknown people touch their body or hair","No, because he is very young",,"No, because women has all rights including doing job","No, because women has right to education",,
244,T3,,,,,"No, because he is still very young and it's his age to play ",,,"No, because it's her responsibility",No,
245,T3,,,,,,,"No, because if home if both of theirs they both should work but she should come home early",,,
246,T3,"No, because no violence should be done with womens, try to explain her instead","No, Samir mother should go to village so that she doesn't have to bear such harassment",,,,,"No because they both should work, she has right to work",,,
247,T3,,,,,,,,,,
248,T3,,,"No, Poonam has right to live free and as per her choice, she has right to wear clothes of her choice","No, he should explain his friends that girls eve teasing is a crime and they should not do it.","No, chetu is a boy and he likes to play with dolls because he is young, when he becomes old he might stop playing with dolls",,"No, everybody has right to work, Mahesh should co-operate Nisha","No, their mother should distribute house chores equally between them","No, today gender equality is very important so Ramesh should support Priyanka",
249,T3,,"Yes, nobody should do such violence with women",,,,,,,,
250,T3,,"Yes, because samir father will hit his mother and that too on daily basis so going to the village is more viable option",,,,,,"No, not only shruti her brother navnath should also help in house chores","No, she should do what she wants to do",
251,T3,,"No, because violence against women is a crime","No, because girls has right to wear clothes of their choice","No, because eve teasing or harassment of girls is crime","No, because he has right to play","No, because she has right to go outside","No, because women also has right to go outside do jobs","No, because girls has right to education","No, because women has right to do business",
252,T3,,,,"No, Ganesh should explain his friends",,,,"No, because there should be no discrimination",She should do whatever she wants to do,
253,T3,,,"No, Just like boys, girls also has right to wear clothes of their choice and Poonam also want to made career into fashion","No, he should explain his friends and if they didn't listen to him, Ganesh should stay away from such friends","No, because there are only girls (sisters) into his home and he might not have friends to play with so Chetu plays with his sisters",,,,,"No, Just like boys, girls also has right to go outside so her parents should allow her to go to the trip"
254,T3,,,,,"No, he has right to play",,,,,"No, Nina's parents should send her to the trip. Her brother can look after"
255,T3,,,"No, it's her right",,,It is Nisha's human right to go outside so her parents should allow her to go outside and if someone harasses her she should call her brother,,"No, because Navnath can also look after his siblings",,
256,T3,,,,,,,,,,
257,T3,,,,"No, Ganesh should work with his friends to improve their behaviors so that he doesn't have to loose his friends and his friends behavior will also get improved.",,,"No, if Nisha is working that is not wrong because if they both work they earn more money for their family",,,"No, because going outside is Nina's human right and her brother can look after the baby, he should do this task"
258,T3,,,,"No, because touching girls (without consent) is a bad thing, Ganesh should inform police",,"No, because Nisha has right to go outside, so her parents should allow her to go outside for 2-3 hours during evening",,"No, because both boys and girls should look after the home","No, because she had done a course in beauty parlour so she should work into ti",
259,T3,,,,"No, Ganesh should stay away from that boys and explain them what they are doing is wrong",,,,"No, because education should be given to the girls because if girls get educate they helps in developement of society",,
260,T3,,,,,,,,,,
261,T3,,,"No, because we all have right to wear clothes of our choice, she should go to police and complaint against them",,,,,,,
262,T3,,,,"No, because if he stays calm that boys will sexually harass girls more",,,"No, because women can also work and earn money",,,
263,T3,,,,,,,,,,
264,T3,,,"No, It's her right to wear Jeans pants","No, because they (ganesh friends) sexually harass girls",,"No, it's her choice to go anywhere","No, Nisha should work and earn money","Yes, they both should help in house chores","No, they both should work ","No, she should go to the trip"
265,T3,,,,"No, because Ganesh should stay away from such friends and he should register complaint against them ",,,"No, Nisha should explain Mahesh that they both can work and earn money",,,
266,T3,,,"No, she also has right (to wear western clothes)","No, he should file complaint against that boys",,,,,,
267,T3,,"Yes, because Samir father beats his mother always",,,,,,"No, because girls should also get education",,
268,T3,,,,,,,"No, women can also work and they are working","No, because house chores will be distributed equally between them","No, Priyanka should work",
269,T3,,,,"No, because Ganesh feels sad as whatever happened with the girls is wrong",,,,,,
270,T3,"No, because if she files domestic violence complaint against her husband into the police he will get arrested, her husband should informs her parents about it.",,,,,,,,,
271,T3,,,,,,,,,"No, because men must do work but women also need to work if they want to fulfill their dreams",
272,T3,,"No, because Samir's father is at fault",,"No, because boys should not touch girls (inappropriately)",,,"No, because they both should work together ",,"No, because they both need to look after family and childrens.","No, because her brother can look after the baby and Nina can go to trip"
273,T3,,,,"No, do not sexually harass girls",,"No, here Nisha's rights are declined ",,,,"No, she has the right to go to trip for once which is denied here."
274,T3,,,"Yes, because society should let her live as she wants to live, boys and girls both have eqaul rights",,,"No, they are denying Nisha her rights, they should let her live as she wants to.",,"No, because boys and girls both have eqaul rights",,"No, because her father can send her brother with her"
275,T3,He should not hit her and women also have rights,,,,,Girls also has right to go outside,"No, it's duty of both",,,"No, her father's point of view is wrong because Nina can go to Mahabaleshwar"
276,T3,,,"No, she can wear any clothes of her choice, boys doing sexual harassment of girls is wrong.","No, need to think about how we can boys who are sexually harassing girls by explaining them properly or by approaching police",,,"No, if women likes to work then there is nothing wrong into women going to work, it's wrong to demotivate them, let them work","No, because Neha also want to take education, if they both Nisha and her brother work together then they will get time to get education","No, women going to work is not a bad thing, they should just stay at home idle",
277,T3,,,,,,"No, because the programme is arranged by her college and she has right and freedom to go outside","No, because they both have equal rights, so they both should work to fulfill their needs","No, she should give equal housechores to both of them","No, because they both have equal rights, so they both should work to fulfill their needs",
278,T3,,,"No, because 'what clothes she should wear' is completely her decision",,,,,"No, because their mother should allow both of them to study and get education and also give housechores too",,No because Nina's parents should let her to go for the trip and her brother can look after the baby
279,T3,,,,"No, Ganesh should do something about it like inform someone at his school","No, because both boys and girls are equal",,,"No, equal treatment should be given to both shruti and navnath, house chores should be given to both of them",,
280,T3,,,,Staring at girls and sexually harassing them is wrong,,"No, it's wrong. women has right to go outside",,"No, because here Shruti's mother is giving housechores to her only and not her brother there should Gender equality ",,
281,T3,,"No, Samir should talk to his father and ask him not to hit his mother, not to use abusiive language which is wrong","No, Poonam has right to wear clothes of her choice","No, Ganesh should not stay quiet, he should explain his friends that sexually harassing girls is very wrong.","No, he is still very young","No, she also has right to go outside, asking Nina to stay at home is not the only or best solution. ","No, he should let her do job, what he thinks and behaves is not correct","No, Mother doing discrimination between son & daughter (Shruti & navnath) is wrong","No, women can also do all type of jobs, Ramesh should help his wife","No, Nina's brother can also look after the baby, decision of her father is wrong and they should let her go to the trip"
282,T3,,,"No, because boys need to change their wrong attitudes towards girls ","No, because Ganesh should not stay quite about such things, he should talk and explain his friends in a proper way.",,"No, because when nisha will go outside then will she will understand and learn how to defend herself","No, because even if women are earning more than men, men should encourage and support them","No, because girls also has right of education similar to boys, so Shruti and Navnath mother should treat both of them equally","No, because she can do job and look after the family too. Both men and women have equal rights so Priyanka can live as per her choice",
283,T3,,,,,,"No, her mother or brother can go with her to the programme is the better option",,,,
284,T3,"No, Ramesh should try to understand her because they are now married for 10 years, so he should have discussed this with her and try to explain her",,"Yes, Poonam can wear clothes of her choice and it's not her fault, so she should complaint against the boys who are sexually harassing her due to her clothes","Ganesh should not stay calm, instead the girls should inform their parents to whom friends of ganesh are sexually harassing or should explain those boys",,"No, Parents of Nisha should allow her to outside, because she also has rights like other and her brother can accompany her outside",,,,"No, they should allow Nina to go to the trip and her brother should look after the bay by staying at home"
285,T3,,,,"No, Ganesh should explain his friends properly that sexual harassment of girls is not good and because of it girls suffer","Chetu loves to do it, his parents should allow him to play as per his choice and with whatever he likes","No, it's wrong. If everybody start behaving like this our country will not develop",,"No, It is wrong to ask Shruti only to do housechores because she is a girl, it's completely wrong.",,"No, the rights like playing outdoor games and taking education are given to boys as well as girls too, so they should get these rights, also Nina's parents shouldn't discriminate between them on the basis of gender."
286,T3,,"No, Samir should talk with his father 1st and then decide about leaving his father and shifting to village with mother","No, boys dirty attitude towards girls needs to be change, they also have sisters at home.",,"No, both boys and girls should get equal rights",,"No, they both should work so they get more money for their family.",,"No, they both have right to work, so Ramesh should help his wife","No, boys can also take care of babies and school trips doesn't happen often and her brother can play cricket later."
287,T3,"No, because it's not her fault, they should have asked her before wedding about it.",,"No, because those boys wrong attitudes towards girls & women needs to be changed first.","No, instead of talking with his by his own he can talk with them when they are in group, so that he explain it better to them which will help his friedns to change their attitudes and behaviors towards girls","No, because he can do whatever he want to do and his parents should also doesn't stop him because both boys and girls are equal","No, because if her parents send her brother with her to the programme then she can go and attend the programme in school","No, Ramesh should encourage his wife to do job and will also appreciate his wife for her promotion.",,"No, they both work together so they earn more money for their family and they will be financially happy.","No, because her brother can look after the baby instead of going outside to play cricket and it will solve the problem too and Nina can go to the school trip"
288,T3,"No, because Pranita hasn't done any wrong, everybody has right to choose their life partner","No, instead of taking his mother to village, samir should talk to his mother and tell her that we will resist the father and try to explain him.",,,"No, he is just six years old and telling the boy child not to play girls games is wrong ","No, because this is the wrong method of asking Nisha to stay at home, her mother can accompany her to the programme and he can go with her.",,,"No, because we all have right to do job and  girls and women should only do house chores is wrong, and if priyanka works and earn money it will help her husband","No, because her brother can go anywhere anytime but Nina can go to the trip once or twice, so he should stay at home and take care of the baby."
289,T3,"No, Ramesh should give one chance to Pranita and listen her side also, If ramesh is thinking that his wife is cheating on him. If that neighbor is harassing her then need to explain to him about it. ",,In 21st century it's a modern world and it's ok if girls wear any type of clothes,,"No, because Chetu is still very young, he can play any type of toys, so his parents behavior is wrong. ",,,"No, because home is everyone's so the house hold chores too, so their mother should distribute chores equally between them and give equal opportunity of education to both of them.",,
290,T2,,,"No, it is not her fault- because she  likes it and should wear whatever clothes she likes","No he should not remain quiet because he should tell the boys to be quiet, if he does not say something then they will continue to harass the girls ",,"No, this is not the way to protect her. She should go for the picnic and if anyone teases her then she should complain to the police",No I do not agree with him because both should work,"No, I do not afree with the mother because both of them should be sent to school ",,
291,T2,,,,"No he should remain quiet, he should complain to the police",,,,I disagree with the mother because Roshni is not getting her rights ,,
292,T2,,"I agree with the son, both of them should go to the village ",It is not Gauris fault because everyone has the right to wear clothes,,,,,,,I disagree with the father because Seema too can move about
293,T2,,,"No it is not her fault, because girls can wear clothes that they like ",,"I disagree with his parents, because he should play with whatever he likes","I disagree this is not the way to protect her, maybe they should drop her to college ","I disagree with the him, because she should go to work ","I disagree with the mother, she should also study","I disagree with him, she should also work.","I disagree with the father, she has the right to go for her picnic"
294,T2,,,No it is not her fault because she has the right to wear clothes that are fashionable. ,"He should not remain quiet, he should do something and complain to the teacher ","I disagree with his parents, because he should play with whatever he likes",,,,,"I disagree with the husband, she should go for the picnic and her older brother can look after the younger sibling"
295,T2,,,"No it is not Gauriś fault, it is the fault of the boys who are teasing her ",He should not remain quiet. He should tell his friends not to tease girls because the girls parents will call the police,,,,,,I disagree with the father because one day the brother can stay home and look after the younger sibling instead of playing cricket. Seema has the right to go for her picnic. 
296,T2,,,,,,No this is not the only way to protect her because if people tease her she can complain to the police ,"I disagree with Vishal, She should work and earn money ",,,I disagree with the father because the older brother can look after the younger sibling and Seema can go for the picnic
